SURVEY:  PS1MD
SNID:  2021zbq
otherID: 
IAUC:    UNKNOWN
RA:        315.5126790  deg
DECL:       -1.5981180  deg
MWEBV:    0.074 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021zbq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.029 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 179
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  8.551 75.896 25.170 9.637 0x00
OBS: 59017.51 g NULL  -20.748 58.786 nan -3.076 0x00
OBS: 59021.54 g NULL  147.050 72.416 22.081 0.535 0x00
OBS: 59027.51 g NULL  113.695 61.681 22.361 0.589 0x00
OBS: 59046.52 g NULL  -106.314 142.148 nan -1.452 0x00
OBS: 59049.47 g NULL  36.110 117.026 23.606 3.519 0x00
OBS: 59050.49 g NULL  32.259 64.779 23.728 2.180 0x01
OBS: 59055.44 g NULL  9.768 64.883 25.025 7.212 0x00
OBS: 59072.28 g NULL  -12.361 63.285 nan -5.559 0x00
OBS: 59078.40 g NULL  26.800 52.707 23.930 2.135 0x00
OBS: 59082.42 g NULL  -8.534 87.975 nan -11.193 0x00
OBS: 59083.40 g NULL  28.757 60.301 23.853 2.277 0x00
OBS: 59104.30 g NULL  126.207 40.628 22.247 0.350 0x00
OBS: 59108.25 g NULL  117.140 62.348 22.328 0.578 0x00
OBS: 59114.31 g NULL  101.150 85.925 22.488 0.922 0x00
OBS: 59132.23 g NULL  -15.762 48.151 nan -3.317 0x00
OBS: 59137.23 g NULL  -32.364 39.404 nan -1.322 0x00
OBS: 59139.23 g NULL  26.079 57.564 23.959 2.397 0x00
OBS: 59143.26 g NULL  45.680 96.894 23.351 2.303 0x00
OBS: 59163.25 g NULL  106.796 113.919 22.429 1.158 0x00
OBS: 59167.21 g NULL  -129.558 92.899 nan -0.779 0x01
OBS: 59319.62 g NULL  13.633 69.653 24.664 5.547 0x00
OBS: 59323.60 g NULL  27.463 71.237 23.903 2.816 0x00
OBS: 59342.60 g NULL  82.082 52.493 22.714 0.694 0x00
OBS: 59345.60 g NULL  13.065 52.181 24.710 4.336 0x00
OBS: 59348.60 g NULL  47.777 79.509 23.302 1.807 0x00
OBS: 59351.59 g NULL  26.845 69.713 23.928 2.820 0x00
OBS: 59369.54 g NULL  -112.225 108.156 nan -1.046 0x00
OBS: 59370.57 g NULL  96.378 65.696 22.540 0.740 0x00
OBS: 59373.59 g NULL  -14.586 51.599 nan -3.841 0x00
OBS: 59376.54 g NULL  -72.733 69.455 nan -1.037 0x00
OBS: 59379.50 g NULL  133.466 55.208 22.187 0.449 0x00
OBS: 59381.58 g NULL  111.014 59.809 22.387 0.585 0x01
OBS: 59396.61 g NULL  25.009 96.759 24.005 4.201 0x00
OBS: 59402.46 g NULL  -80.670 81.769 nan -1.101 0x01
OBS: 59403.46 g NULL  -71.139 82.402 nan -1.258 0x00
OBS: 59404.51 g NULL  -88.849 63.246 nan -0.773 0x00
OBS: 59405.46 g NULL  -25.694 51.261 nan -2.166 0x00
OBS: 59409.44 g NULL  -171.230 126.068 nan -0.799 0x00
OBS: 59413.44 g NULL  2.583 78.568 26.470 33.025 0x00
OBS: 59426.39 g NULL  72.367 62.422 22.851 0.937 0x01
OBS: 59429.41 g NULL  -35.156 60.860 nan -1.880 0x00
OBS: 59432.45 g NULL  69.473 70.428 22.895 1.101 0x00
OBS: 59436.33 g NULL  106.632 53.350 22.430 0.543 0x00
OBS: 59439.41 g NULL  68.072 93.106 22.918 1.485 0x00
OBS: 59441.43 g NULL  300.890 68.532 21.304 0.247 0x00
OBS: 59443.44 g NULL  553.106 90.973 20.643 0.179 0x00
OBS: 59456.47 g NULL  734.573 80.550 20.335 0.119 0x00
OBS: 59461.34 g NULL  734.218 117.411 20.335 0.174 0x00
OBS: 59466.33 g NULL  634.670 52.748 20.494 0.090 0x00
OBS: 59469.28 g NULL  721.934 60.413 20.354 0.091 0x00
OBS: 59485.28 g NULL  691.563 57.648 20.400 0.091 0x00
OBS: 59487.23 g NULL  666.316 108.189 20.441 0.176 0x00
OBS: 59488.27 g NULL  787.119 111.938 20.260 0.154 0x00
OBS: 59494.22 g NULL  869.287 94.478 20.152 0.118 0x00
OBS: 59515.21 g NULL  461.353 62.900 20.840 0.148 0x00
OBS: 59516.21 g NULL  481.610 97.864 20.793 0.221 0x01
OBS: 59518.21 g NULL  458.917 63.053 20.846 0.149 0x00
OBS: 59524.35 g NULL  460.755 132.705 20.841 0.313 0x00
OBS: 59005.55 r NULL  402.833 91.411 20.987 0.246 0x00
OBS: 59017.51 r NULL  327.091 56.589 21.213 0.188 0x00
OBS: 59022.53 r NULL  348.544 48.481 21.144 0.151 0x00
OBS: 59030.49 r NULL  330.558 50.242 21.202 0.165 0x00
OBS: 59033.53 r NULL  214.822 81.703 21.670 0.413 0x00
OBS: 59041.55 r NULL  358.129 61.499 21.115 0.186 0x00
OBS: 59046.53 r NULL  113.302 203.647 22.364 1.951 0x00
OBS: 59050.49 r NULL  109.333 77.520 22.403 0.770 0x01
OBS: 59055.45 r NULL  343.299 50.831 21.161 0.161 0x00
OBS: 59060.49 r NULL  230.229 81.432 21.595 0.384 0x00
OBS: 59068.40 r NULL  344.903 78.111 21.156 0.246 0x00
OBS: 59069.36 r NULL  330.727 69.566 21.201 0.228 0x00
OBS: 59078.40 r NULL  262.602 59.020 21.452 0.244 0x00
OBS: 59082.43 r NULL  443.886 67.747 20.882 0.166 0x00
OBS: 59095.42 r NULL  93.585 96.671 22.572 1.122 0x00
OBS: 59097.41 r NULL  251.470 103.467 21.499 0.447 0x01
OBS: 59099.42 r NULL  81.250 74.690 22.725 0.998 0x00
OBS: 59108.26 r NULL  297.694 53.114 21.316 0.194 0x00
OBS: 59114.31 r NULL  248.992 100.273 21.510 0.437 0x00
OBS: 59123.22 r NULL  153.555 135.558 22.034 0.958 0x00
OBS: 59126.35 r NULL  161.712 83.298 21.978 0.559 0x00
OBS: 59127.23 r NULL  270.828 113.413 21.418 0.455 0x00
OBS: 59129.23 r NULL  176.683 70.255 21.882 0.432 0x00
OBS: 59139.23 r NULL  74.174 61.979 22.824 0.907 0x00
OBS: 59155.21 r NULL  218.809 96.368 21.650 0.478 0x00
OBS: 59181.24 r NULL  199.675 174.162 21.749 0.947 0x00
OBS: 59319.62 r NULL  294.273 71.709 21.328 0.265 0x00
OBS: 59327.57 r NULL  97.358 140.549 22.529 1.567 0x01
OBS: 59328.59 r NULL  163.698 106.526 21.965 0.707 0x00
OBS: 59329.61 r NULL  445.919 162.620 20.877 0.396 0x00
OBS: 59332.62 r NULL  219.041 119.315 21.649 0.591 0x00
OBS: 59334.60 r NULL  109.664 93.622 22.400 0.927 0x00
OBS: 59342.60 r NULL  195.803 56.281 21.770 0.312 0x00
OBS: 59348.61 r NULL  209.247 75.757 21.698 0.393 0x00
OBS: 59356.57 r NULL  199.815 58.900 21.748 0.320 0x00
OBS: 59357.59 r NULL  192.783 43.179 21.787 0.243 0x00
OBS: 59358.59 r NULL  279.876 91.718 21.383 0.356 0x00
OBS: 59359.56 r NULL  347.987 94.307 21.146 0.294 0x00
OBS: 59361.58 r NULL  308.584 124.258 21.277 0.437 0x00
OBS: 59376.54 r NULL  298.549 85.601 21.312 0.311 0x00
OBS: 59381.57 r NULL  315.058 53.377 21.254 0.184 0x00
OBS: 59385.51 r NULL  378.283 65.840 21.055 0.189 0x01
OBS: 59386.54 r NULL  338.213 53.636 21.177 0.172 0x00
OBS: 59403.46 r NULL  198.845 58.250 21.754 0.318 0x00
OBS: 59405.47 r NULL  227.840 59.812 21.606 0.285 0x00
OBS: 59415.42 r NULL  252.609 71.797 21.494 0.309 0x00
OBS: 59423.48 r NULL  145.965 75.842 22.089 0.564 0x01
OBS: 59429.41 r NULL  151.883 52.013 22.046 0.372 0x00
OBS: 59436.33 r NULL  325.387 57.742 21.219 0.193 0x00
OBS: 59451.32 r NULL  702.253 104.093 20.384 0.161 0x00
OBS: 59453.42 r NULL  740.435 62.941 20.326 0.092 0x00
OBS: 59461.34 r NULL  728.813 132.688 20.343 0.198 0x00
OBS: 59480.37 r NULL  1120.917 88.025 19.876 0.085 0x00
OBS: 59481.40 r NULL  596.522 125.801 20.561 0.229 0x00
OBS: 59483.38 r NULL  1222.118 76.514 19.782 0.068 0x00
OBS: 59488.28 r NULL  1147.162 92.575 19.851 0.088 0x00
OBS: 59505.33 r NULL  930.945 179.425 20.078 0.209 0x00
OBS: 59506.29 r NULL  1081.177 147.370 19.915 0.148 0x01
OBS: 59507.28 r NULL  931.965 85.527 20.077 0.100 0x00
OBS: 59509.27 r NULL  667.777 125.061 20.438 0.203 0x00
OBS: 59510.26 r NULL  1089.502 75.770 19.907 0.076 0x00
OBS: 59511.27 r NULL  1029.276 73.091 19.969 0.077 0x00
OBS: 59518.21 r NULL  997.193 53.928 20.003 0.059 0x00
OBS: 59524.35 r NULL  1181.279 122.893 19.819 0.113 0x00
OBS: 59005.55 i NULL  239.424 107.815 21.552 0.489 0x00
OBS: 59013.56 i NULL  130.331 84.128 22.212 0.701 0x00
OBS: 59021.54 i NULL  247.655 57.323 21.515 0.251 0x00
OBS: 59033.53 i NULL  197.614 103.047 21.760 0.566 0x00
OBS: 59049.48 i NULL  315.651 113.566 21.252 0.391 0x00
OBS: 59060.49 i NULL  -33.941 72.740 nan -2.327 0x00
OBS: 59072.29 i NULL  349.920 74.025 21.140 0.230 0x00
OBS: 59083.40 i NULL  303.522 60.172 21.295 0.215 0x00
OBS: 59095.42 i NULL  196.350 96.029 21.767 0.531 0x00
OBS: 59099.42 i NULL  83.138 100.066 22.701 1.307 0x00
OBS: 59104.30 i NULL  154.482 65.658 22.028 0.461 0x00
OBS: 59110.30 i NULL  193.356 92.428 21.784 0.519 0x01
OBS: 59126.35 i NULL  62.183 92.093 23.016 1.608 0x00
OBS: 59129.23 i NULL  136.185 90.479 22.165 0.721 0x00
OBS: 59137.23 i NULL  134.740 82.402 22.176 0.664 0x00
OBS: 59143.26 i NULL  -19.287 114.540 nan -6.448 0x00
OBS: 59327.57 i NULL  118.442 99.101 22.316 0.908 0x01
OBS: 59329.61 i NULL  362.721 92.928 21.101 0.278 0x00
OBS: 59332.61 i NULL  208.163 117.962 21.704 0.615 0x00
OBS: 59345.61 i NULL  142.726 68.572 22.114 0.522 0x00
OBS: 59351.59 i NULL  41.783 107.958 23.448 2.805 0x00
OBS: 59356.57 i NULL  176.508 68.375 21.883 0.421 0x00
OBS: 59358.59 i NULL  47.135 89.986 23.317 2.073 0x00
OBS: 59361.58 i NULL  162.692 108.884 21.972 0.727 0x00
OBS: 59373.59 i NULL  73.075 74.540 22.841 1.108 0x00
OBS: 59379.50 i NULL  203.235 65.679 21.730 0.351 0x00
OBS: 59386.54 i NULL  255.637 69.112 21.481 0.294 0x00
OBS: 59396.60 i NULL  297.260 78.105 21.317 0.285 0x00
OBS: 59402.46 i NULL  1.828 60.435 26.845 35.895 0x00
OBS: 59404.50 i NULL  64.208 56.317 22.981 0.952 0x00
OBS: 59409.43 i NULL  162.712 119.300 21.971 0.796 0x00
OBS: 59413.44 i NULL  113.880 87.885 22.359 0.838 0x00
OBS: 59415.42 i NULL  234.985 79.940 21.572 0.369 0x00
OBS: 59432.44 i NULL  35.431 77.611 23.627 2.378 0x00
OBS: 59439.41 i NULL  497.606 137.936 20.758 0.301 0x00
OBS: 59441.43 i NULL  599.575 88.626 20.555 0.160 0x00
OBS: 59451.31 i NULL  581.321 85.431 20.589 0.160 0x00
OBS: 59466.33 i NULL  904.647 78.545 20.109 0.094 0x01
OBS: 59469.28 i NULL  896.009 98.255 20.119 0.119 0x00
OBS: 59480.36 i NULL  1237.425 71.535 19.769 0.063 0x00
OBS: 59483.39 i NULL  994.870 103.260 20.006 0.113 0x00
OBS: 59487.23 i NULL  1379.357 118.141 19.651 0.093 0x00
OBS: 59494.22 i NULL  1468.894 141.648 19.583 0.105 0x00
OBS: 59506.29 i NULL  1177.474 110.229 19.823 0.102 0x00
OBS: 59510.25 i NULL  1162.163 69.549 19.837 0.065 0x00
OBS: 59027.52 z NULL  57.732 126.710 23.096 2.383 0x01
OBS: 59030.49 z NULL  -249.120 92.150 nan -0.402 0x00
OBS: 59041.55 z NULL  -371.038 152.114 nan -0.445 0x00
OBS: 59068.41 z NULL  -58.045 95.457 nan -1.786 0x00
OBS: 59069.36 z NULL  -15.625 103.492 nan -7.191 0x01
OBS: 59097.41 z NULL  -18.389 113.630 nan -6.709 0x00
OBS: 59123.21 z NULL  77.602 192.927 22.775 2.699 0x00
OBS: 59127.23 z NULL  -370.765 248.156 nan -0.727 0x00
OBS: 59132.23 z NULL  114.893 141.717 22.349 1.339 0x00
OBS: 59155.21 z NULL  138.964 202.171 22.143 1.580 0x00
OBS: 59163.25 z NULL  27.804 146.616 23.890 5.725 0x00
OBS: 59181.24 z NULL  61.472 163.401 23.028 2.886 0x00
OBS: 59323.61 z NULL  4.954 151.966 25.763 33.305 0x00
OBS: 59328.60 z NULL  89.197 177.240 22.624 2.157 0x00
OBS: 59334.60 z NULL  519.530 228.654 20.711 0.478 0x01
OBS: 59357.59 z NULL  7.467 101.782 25.317 14.800 0x00
OBS: 59359.56 z NULL  138.969 157.647 22.143 1.232 0x00
OBS: 59369.53 z NULL  91.918 238.332 22.591 2.815 0x00
OBS: 59370.56 z NULL  102.559 123.725 22.473 1.310 0x00
OBS: 59385.51 z NULL  -82.032 138.147 nan -1.828 0x09
OBS: 59426.39 z NULL  -31.838 121.190 nan -4.133 0x09
OBS: 59443.44 z NULL  83.823 124.467 22.692 1.612 0x00
OBS: 59453.42 z NULL  476.307 111.452 20.805 0.254 0x00
OBS: 59456.47 z NULL  529.669 127.502 20.690 0.261 0x00
OBS: 59481.40 z NULL  1181.107 215.543 19.819 0.198 0x00
OBS: 59485.29 z NULL  1030.806 102.368 19.967 0.108 0x00
OBS: 59505.33 z NULL  1343.723 214.621 19.679 0.173 0x00
OBS: 59507.28 z NULL  1019.957 101.875 19.979 0.108 0x00
OBS: 59509.27 z NULL  989.647 199.756 20.011 0.219 0x00
OBS: 59511.27 z NULL  1025.785 109.769 19.972 0.116 0x00
OBS: 59515.21 z NULL  766.725 141.245 20.288 0.200 0x00
END:
