SURVEY:  PS1MD
SNID:  2021zfy
otherID: 
IAUC:    UNKNOWN
RA:        54.8309960  deg
DECL:       -27.5540480  deg
MWEBV:    0.010 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021zfy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0061
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.553 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 41
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59101.62 g NULL  -5.189 73.132 nan -15.302 0x00
OBS: 59105.61 g NULL  52.510 61.325 23.199 1.268 0x00
OBS: 59109.62 g NULL  -50.091 53.086 nan -1.151 0x00
OBS: 59114.62 g NULL  16.687 74.951 24.444 4.877 0x01
OBS: 59134.55 g NULL  -87.292 89.060 nan -1.108 0x00
OBS: 59138.53 g NULL  10.637 126.336 24.933 12.895 0x00
OBS: 59142.54 g NULL  14.549 96.321 24.593 7.188 0x00
OBS: 59145.53 g NULL  69.581 65.994 22.894 1.030 0x00
OBS: 59167.46 g NULL  -57.527 88.176 nan -1.664 0x00
OBS: 59172.45 g NULL  68.178 73.058 22.916 1.163 0x00
OBS: 59191.41 g NULL  -16.933 60.415 nan -3.874 0x00
OBS: 59193.42 g NULL  42.892 57.903 23.419 1.466 0x00
OBS: 59198.37 g NULL  160.257 146.389 21.988 0.992 0x01
OBS: 59486.60 g NULL  1107.760 107.705 19.889 0.106 0x00
OBS: 59492.56 g NULL  830.124 109.993 20.202 0.144 0x00
OBS: 59109.62 r NULL  -40.891 53.673 nan -1.425 0x00
OBS: 59125.55 r NULL  75.818 117.974 22.801 1.689 0x00
OBS: 59134.55 r NULL  -46.933 78.654 nan -1.820 0x00
OBS: 59142.54 r NULL  44.383 65.422 23.382 1.600 0x00
OBS: 59167.46 r NULL  93.985 86.853 22.567 1.003 0x00
OBS: 59198.37 r NULL  -337.898 270.939 nan -0.871 0x00
OBS: 59476.62 r NULL  791.987 126.673 20.253 0.174 0x00
OBS: 59479.60 r NULL  1145.848 112.953 19.852 0.107 0x00
OBS: 59483.60 r NULL  1043.518 111.061 19.954 0.116 0x00
OBS: 59505.53 r NULL  454.102 146.446 20.857 0.350 0x00
OBS: 59506.53 r NULL  369.247 128.969 21.082 0.379 0x00
OBS: 59507.54 r NULL  275.844 150.969 21.398 0.594 0x00
OBS: 59105.62 i NULL  -36.669 68.469 nan -2.027 0x00
OBS: 59114.62 i NULL  -30.139 110.382 nan -3.976 0x09
OBS: 59138.53 i NULL  -30.841 383.859 nan -13.513 0x00
OBS: 59172.45 i NULL  8.677 100.361 25.154 12.558 0x00
OBS: 59191.41 i NULL  57.496 70.748 23.101 1.336 0x00
OBS: 59193.42 i NULL  -54.505 57.433 nan -1.144 0x00
OBS: 59476.63 i NULL  867.642 115.086 20.154 0.144 0x00
OBS: 59479.60 i NULL  760.079 99.074 20.298 0.142 0x00
OBS: 59486.60 i NULL  965.702 99.638 20.038 0.112 0x00
OBS: 59492.56 i NULL  689.673 108.247 20.403 0.170 0x00
OBS: 59506.53 i NULL  427.338 118.295 20.923 0.301 0x00
OBS: 59101.63 z NULL  5.051 83.658 25.742 17.983 0x00
OBS: 59125.55 z NULL  154.707 138.503 22.026 0.972 0x00
OBS: 59145.53 z NULL  -49.733 96.425 nan -2.105 0x00
OBS: 59483.60 z NULL  598.467 170.716 20.557 0.310 0x00
OBS: 59505.53 z NULL  370.793 285.994 21.077 0.837 0x00
OBS: 59507.54 z NULL  370.244 151.166 21.079 0.443 0x00
END:
