SURVEY:  YSE
SNID:  2020ssq
otherID: 
IAUC:    UNKNOWN
RA:        318.6527920  deg
DECL:       -0.8274000  deg
MWEBV:    0.053 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: 0.097 +- -99.0 (PHOTO-Z)
PHOTO_Z: 0.097 (W/ PS1 ASSOC.)
VETTED_PSO_NAME: PSO J211436.678+004938.471 
VETTED_PS1_OBJID: 107003186528177577 
VETTED_HOST_GALAXY_STATUS: G 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (318.6528275, -0.8273561) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): None 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59171.127
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 63.6
PARSNIP_S1: -1.467 +- 0.096
PARSNIP_S2: 1.23 +- 0.196
PARSNIP_S3: -0.192 +- 0.149
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 18.910
MAX_MJD_GAP(days): 24.030
NOBS_BEFORE_PEAK: 50
NOBS_TO_PEAK: 51
NOBS_AFTER_PEAK: 28
SEARCH_PEAKMAG: 19.218
SEARCH_PEAKFLT: X
FILTERS: rigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ssq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.796 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 79
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59005.550 r NULL 662.285 81.563 20.447 0.134 0x00
OBS: 59013.560 i NULL 645.600 111.554 20.475 0.188 0x00
OBS: 59017.510 r NULL 638.033 64.410 20.488 0.110 0x00
OBS: 59017.510 g NULL 371.319 72.677 21.076 0.213 0x00
OBS: 59021.540 g NULL 637.182 112.750 20.489 0.192 0x00
OBS: 59021.540 i NULL 715.254 120.826 20.364 0.183 0x00
OBS: 59022.530 g NULL 610.443 68.605 20.536 0.122 0x00
OBS: 59027.520 g NULL 1054.341 83.247 19.943 0.086 0x00
OBS: 59033.530 i NULL 1354.727 124.943 19.670 0.100 0x00
OBS: 59046.520 g NULL 837.970 188.138 20.192 0.244 0x00
OBS: 59046.530 r NULL 994.746 135.010 20.006 0.147 0x00
OBS: 59055.440 g NULL 1045.758 55.302 19.951 0.057 0x00
OBS: 59060.490 r NULL 1129.837 107.868 19.867 0.104 0x00
OBS: 59060.490 i NULL 1021.303 89.086 19.977 0.095 0x00
OBS: 59069.360 r NULL 1087.597 70.773 19.909 0.071 0x00
OBS: 59069.360 z NULL 1273.188 137.368 19.738 0.117 0x00
OBS: 59072.280 g NULL 1095.424 88.208 19.901 0.087 0x00
OBS: 59072.290 i NULL 1631.924 98.745 19.468 0.066 0x00
OBS: 59082.420 g NULL 1362.711 98.455 19.664 0.078 0x00
OBS: 59082.430 r NULL 1078.177 99.860 19.918 0.101 0x00
OBS: 59083.400 i NULL 1193.712 101.586 19.808 0.092 0x00
OBS: 59083.400 g NULL 868.218 85.910 20.153 0.107 0x00
OBS: 59095.276 X 441 1843.764 319.627 19.336 0.188 0x00
OBS: 59097.410 r NULL 1531.067 86.488 19.538 0.061 0x00
OBS: 59098.226 X 441 1852.811 158.318 19.330 0.093 0x00
OBS: 59099.420 i NULL 1543.760 84.619 19.529 0.060 0x00
OBS: 59099.420 r NULL 1766.132 107.953 19.382 0.066 0x00
OBS: 59104.300 g NULL 1179.238 74.317 19.821 0.068 0x00
OBS: 59104.300 i NULL 1235.664 100.018 19.770 0.088 0x00
OBS: 59108.250 g NULL 1459.418 118.504 19.590 0.088 0x00
OBS: 59108.260 r NULL 1508.442 84.071 19.554 0.061 0x00
OBS: 59114.209 X 441 1651.961 99.971 19.455 0.066 0x00
OBS: 59114.310 r NULL 1150.125 84.874 19.848 0.080 0x00
OBS: 59114.310 g NULL 1112.939 85.125 19.884 0.083 0x00
OBS: 59123.220 r NULL 883.290 142.350 20.135 0.175 0x00
OBS: 59125.190 X 441 1447.640 197.731 19.598 0.148 0x00
OBS: 59126.350 i NULL 1422.448 105.585 19.617 0.081 0x00
OBS: 59126.350 r NULL 1080.141 93.098 19.916 0.094 0x00
OBS: 59129.230 r NULL 1236.416 104.973 19.770 0.092 0x00
OBS: 59129.230 i NULL 1347.601 91.159 19.676 0.073 0x00
OBS: 59131.190 X 441 1772.378 95.249 19.379 0.058 0x00
OBS: 59132.230 g NULL 1168.757 108.820 19.831 0.101 0x00
OBS: 59134.146 X 441 1796.621 104.588 19.364 0.063 0x00
OBS: 59150.164 X 441 1664.523 206.037 19.447 0.134 0x00
OBS: 59151.145 X 441 1787.211 211.056 19.370 0.128 0x00
OBS: 59153.162 X 441 1618.017 286.504 19.478 0.192 0x00
OBS: 59155.147 X 441 1671.327 183.900 19.442 0.119 0x00
OBS: 59156.106 X 441 1932.979 111.266 19.284 0.062 0x00
OBS: 59158.154 X 441 1677.204 142.503 19.439 0.092 0x00
OBS: 59167.128 X 441 1932.998 105.859 19.284 0.059 0x00
OBS: 59171.127 X 441 2054.577 119.629 19.218 0.063 0x00
OBS: 59173.127 X 441 1844.591 115.482 19.335 0.068 0x00
OBS: 59178.108 X 441 1453.924 194.045 19.594 0.145 0x00
OBS: 59181.240 r NULL 1189.905 163.245 19.811 0.149 0x00
OBS: 59182.129 X 441 1404.959 244.191 19.631 0.189 0x00
OBS: 59184.210 r NULL 954.197 116.826 20.051 0.133 0x00
OBS: 59188.167 X 441 1416.667 206.149 19.622 0.158 0x00
OBS: 59342.469 X 441 410.999 85.097 20.965 0.225 0x00
OBS: 59345.610 g NULL 514.687 65.667 20.721 0.139 0x00
OBS: 59348.445 X 441 570.686 95.120 20.609 0.181 0x00
OBS: 59352.464 X 441 612.715 95.445 20.532 0.169 0x00
OBS: 59366.454 X 441 877.576 176.483 20.142 0.218 0x00
OBS: 59369.402 X 441 650.925 92.347 20.466 0.154 0x00
OBS: 59371.405 X 441 642.054 89.226 20.481 0.151 0x00
OBS: 59374.402 X 441 767.653 93.564 20.287 0.132 0x00
OBS: 59376.416 X 441 645.277 93.220 20.476 0.157 0x00
OBS: 59386.440 X 441 491.555 90.001 20.771 0.199 0x00
OBS: 59403.460 g NULL 299.739 58.743 21.308 0.213 0x00
OBS: 59403.460 r NULL 485.737 54.785 20.784 0.122 0x00
OBS: 59404.985 g NULL 273.127 59.691 21.410 0.237 0x00
OBS: 59405.470 r NULL 383.652 82.049 21.040 0.232 0x00
OBS: 59410.357 X 441 681.502 99.326 20.416 0.158 0x00
OBS: 59415.436 X 441 778.285 93.165 20.272 0.130 0x00
OBS: 59423.490 i NULL 443.616 107.546 20.882 0.263 0x00
