SURVEY:  YSE
SNID:  2020zke
otherID: 
IAUC:    UNKNOWN
RA:        116.2846210  deg
DECL:       38.4042720  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: 0.106 +- -99.0 (PHOTO-Z)
PHOTO_Z: 0.106 (W/ PS1 ASSOC.)
VETTED_PSO_NAME: PSO J074508.319+382415.381 
VETTED_PS1_OBJID: 154081162846555736 
VETTED_HOST_GALAXY_STATUS: G 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (116.2846674, 38.4042769) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): None 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59175.600
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 74.9
PARSNIP_S1: -0.973 +- 0.058
PARSNIP_S2: 0.739 +- 0.154
PARSNIP_S3: 0.165 +- 0.077
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 27.323
MAX_MJD_GAP(days): 81.319
NOBS_BEFORE_PEAK: 24
NOBS_TO_PEAK: 25
NOBS_AFTER_PEAK: 43
SEARCH_PEAKMAG: 19.026
SEARCH_PEAKFLT: g
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zke.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0010
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.596 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 68
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58998.171 Y 707 712.744 163.323 20.387 0.260 0x00
OBS: 59079.490 Y 707 1442.852 235.135 19.602 0.177 0x00
OBS: 59087.498 Y 707 898.631 158.130 20.116 0.191 0x00
OBS: 59087.503 Y 707 609.642 151.374 20.537 0.270 0x00
OBS: 59091.508 Y 707 558.061 119.771 20.633 0.233 0x00
OBS: 59130.472 Y 707 534.425 129.967 20.680 0.264 0x00
OBS: 59141.490 Y 707 344.761 84.049 21.156 0.265 0x00
OBS: 59143.465 Y 707 277.868 68.487 21.390 0.268 0x00
OBS: 59145.610 z NULL 932.447 135.322 20.076 0.158 0x00
OBS: 59145.610 g NULL 705.785 85.861 20.378 0.132 0x00
OBS: 59147.610 g NULL 506.960 85.466 20.738 0.183 0x00
OBS: 59151.510 Y 707 476.562 104.379 20.805 0.238 0x00
OBS: 59165.424 Y 707 1753.555 79.884 19.390 0.049 0x00
OBS: 59165.449 X 707 1220.385 61.030 19.784 0.054 0x00
OBS: 59165.640 g NULL 1833.206 102.963 19.342 0.061 0x00
OBS: 59165.640 r NULL 1183.607 130.594 19.817 0.120 0x00
OBS: 59168.434 Y 707 2063.370 103.687 19.214 0.055 0x00
OBS: 59168.474 X 707 1620.301 76.934 19.476 0.052 0x00
OBS: 59170.413 Y 707 2325.020 92.203 19.084 0.043 0x00
OBS: 59170.447 X 707 1762.643 64.511 19.385 0.040 0x00
OBS: 59170.590 g NULL 1674.778 119.246 19.440 0.077 0x00
OBS: 59173.456 X 707 1513.430 207.708 19.550 0.149 0x00
OBS: 59175.469 Y 707 2365.738 162.845 19.065 0.075 0x00
OBS: 59175.590 i NULL 1508.113 138.266 19.554 0.100 0x00
OBS: 59175.600 g NULL 2452.068 110.957 19.026 0.049 0x00
OBS: 59177.470 Y 707 2091.182 85.964 19.199 0.045 0x00
OBS: 59177.520 X 707 1046.480 73.406 19.951 0.076 0x00
OBS: 59179.570 r NULL 1839.676 121.886 19.338 0.072 0x00
OBS: 59180.493 X 707 1205.476 118.535 19.797 0.107 0x00
OBS: 59180.536 Y 707 1371.917 202.941 19.657 0.161 0x00
OBS: 59181.640 r NULL 1294.936 268.887 19.719 0.225 0x00
OBS: 59182.444 Y 707 1580.751 137.655 19.503 0.095 0x00
OBS: 59183.550 i NULL 1169.216 181.298 19.830 0.168 0x00
OBS: 59183.560 r NULL 1758.235 141.211 19.387 0.087 0x00
OBS: 59184.455 X 707 770.952 186.670 20.282 0.263 0x00
OBS: 59184.482 Y 707 1516.882 186.756 19.548 0.134 0x00
OBS: 59188.367 Y 707 1064.532 147.586 19.932 0.151 0x00
OBS: 59193.496 Y 707 1006.597 93.077 19.993 0.100 0x00
OBS: 59193.640 g NULL 425.695 92.144 20.927 0.235 0x00
OBS: 59195.477 Y 707 771.394 123.282 20.282 0.174 0x00
OBS: 59200.364 Y 707 883.057 138.713 20.135 0.171 0x00
OBS: 59200.520 g NULL 781.247 93.699 20.268 0.130 0x00
OBS: 59200.520 r NULL 717.155 97.397 20.361 0.147 0x00
OBS: 59206.480 g NULL 847.279 81.765 20.180 0.105 0x00
OBS: 59210.361 Y 707 776.650 132.419 20.274 0.185 0x00
OBS: 59217.490 r NULL 685.361 115.463 20.410 0.183 0x00
OBS: 59218.408 Y 707 492.558 106.706 20.769 0.235 0x00
OBS: 59219.420 g NULL 626.165 98.599 20.508 0.171 0x00
OBS: 59219.420 z NULL 1184.368 153.266 19.816 0.141 0x00
OBS: 59220.440 g NULL 712.207 72.567 20.368 0.111 0x00
OBS: 59222.342 Y 707 473.840 90.456 20.811 0.207 0x00
OBS: 59226.450 g NULL 910.842 96.785 20.101 0.115 0x00
OBS: 59228.326 Y 707 488.501 79.047 20.778 0.176 0x00
OBS: 59230.252 Y 707 635.208 85.252 20.493 0.146 0x00
OBS: 59230.480 g NULL 409.671 75.916 20.969 0.201 0x00
OBS: 59237.400 i NULL 589.561 135.422 20.574 0.249 0x00
OBS: 59237.400 r NULL 483.247 101.734 20.790 0.229 0x00
OBS: 59248.243 Y 707 467.446 89.815 20.826 0.209 0x00
OBS: 59252.360 g NULL 912.112 103.415 20.100 0.123 0x00
OBS: 59256.224 Y 707 326.142 69.619 21.216 0.232 0x00
OBS: 59257.450 g NULL 592.219 114.574 20.569 0.210 0x00
OBS: 59262.340 r NULL 364.770 88.597 21.095 0.264 0x00
OBS: 59262.340 g NULL 796.705 80.027 20.247 0.109 0x00
OBS: 59265.215 Y 707 507.485 84.397 20.736 0.181 0x00
OBS: 59292.225 Y 707 381.449 82.498 21.046 0.235 0x00
OBS: 59306.197 Y 707 388.843 91.276 21.026 0.255 0x00
OBS: 59308.201 Y 707 402.292 88.913 20.989 0.240 0x00
OBS: 59319.201 Y 707 399.465 97.900 20.996 0.266 0x00
END:
