SURVEY:  YSE
SNID:  2021ofr
otherID: 
IAUC:    UNKNOWN
RA:        194.7005120  deg
DECL:       28.8435970  deg
MWEBV:    0.008 +- 0.000 MW E(B-V)
REDSHIFT_FINAL: 0.071 +- -99.0 (PHOTO-Z)
PHOTO_Z: 0.071 (W/ PS1 ASSOC.)
VETTED_PSO_NAME: PSO J125848.036+285036.390 
VETTED_PS1_OBJID: 142611947001602729 
VETTED_HOST_GALAXY_STATUS: G 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (194.7001294, 28.843465) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): None 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59380.280
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: SN Ibc
PARSNIP_CONF: 79.5
PARSNIP_S1: -1.238 +- 0.037
PARSNIP_S2: -0.46 +- 0.098
PARSNIP_S3: 0.576 +- 0.063
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 34.853
MAX_MJD_GAP(days): 24.000
NOBS_BEFORE_PEAK: 39
NOBS_TO_PEAK: 40
NOBS_AFTER_PEAK: 20
SEARCH_PEAKMAG: 18.655
SEARCH_PEAKFLT: i
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ofr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.892 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 60
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59338.254 Y 626 454.419 77.968 20.856 0.186 0x00
OBS: 59342.270 i NULL 904.440 109.606 20.109 0.132 0x00
OBS: 59342.270 g NULL 642.279 90.715 20.481 0.153 0x00
OBS: 59342.300 Y 626 343.081 75.339 21.162 0.238 0x00
OBS: 59344.249 Y 626 326.628 70.370 21.215 0.234 0x00
OBS: 59345.270 i NULL 990.700 106.929 20.010 0.117 0x00
OBS: 59346.300 Y 626 430.417 82.723 20.915 0.209 0x00
OBS: 59348.307 Y 626 391.192 67.628 21.019 0.188 0x00
OBS: 59349.450 i NULL 1205.056 146.090 19.797 0.132 0x00
OBS: 59350.260 g NULL 728.443 155.080 20.344 0.231 0x00
OBS: 59350.260 r NULL 603.554 121.489 20.548 0.219 0x00
OBS: 59350.266 Y 626 554.978 134.688 20.639 0.263 0x00
OBS: 59360.270 r NULL 724.015 114.064 20.351 0.171 0x00
OBS: 59361.216 Y 626 832.973 136.424 20.198 0.178 0x00
OBS: 59362.390 i NULL 701.821 127.954 20.384 0.198 0x00
OBS: 59363.234 X 626 718.467 69.210 20.359 0.105 0x00
OBS: 59363.322 Y 626 1181.838 134.821 19.819 0.124 0x00
OBS: 59364.400 r NULL 320.299 75.529 21.236 0.256 0x00
OBS: 59364.410 z NULL 854.003 98.080 20.171 0.125 0x00
OBS: 59365.288 X 626 1254.141 96.707 19.754 0.084 0x00
OBS: 59366.410 g NULL 1353.641 77.155 19.671 0.062 0x00
OBS: 59367.228 Y 626 2252.149 87.775 19.119 0.042 0x00
OBS: 59367.249 X 626 1692.517 78.398 19.429 0.050 0x00
OBS: 59369.206 Y 626 2595.875 85.136 18.964 0.036 0x00
OBS: 59369.247 X 626 2077.390 76.409 19.206 0.040 0x00
OBS: 59371.194 X 626 2811.043 83.847 18.878 0.032 0x00
OBS: 59371.216 Y 626 2504.749 90.695 19.003 0.039 0x00
OBS: 59371.340 r NULL 2971.751 153.414 18.817 0.056 0x00
OBS: 59371.340 g NULL 2536.562 139.957 18.989 0.060 0x00
