SURVEY:  YSE
SNID:  2020abhi
otherID: 
IAUC:    UNKNOWN
RA:        187.3918250  deg
DECL:       13.7748720  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59319.350
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 53.646
MAX_MJD_GAP(days): 97.264
NOBS_BEFORE_PEAK: 210
NOBS_TO_PEAK: 211
NOBS_AFTER_PEAK: 105
SEARCH_PEAKMAG: 18.078
SEARCH_PEAKFLT: i
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abhi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.417 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 316
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59020.198 X 525.0 448.562 71.712 20.870 0.174 0x00
OBS: 59020.237 Y 525.0 503.964 86.435 20.744 0.186 0x00
OBS: 59020.280 i NULL 4491.785 203.899 18.369 0.049 0x00
OBS: 59020.280 g NULL 1058.190 218.285 19.939 0.224 0x00
OBS: 59021.270 g NULL 1301.707 89.614 19.714 0.075 0x00
OBS: 59021.270 z NULL 972.227 166.230 20.031 0.186 0x00
OBS: 59022.270 g NULL 1379.809 95.374 19.650 0.075 0x00
OBS: 59022.270 r NULL 1795.823 90.974 19.364 0.055 0x00
OBS: 59023.215 X 525.0 399.991 76.560 20.995 0.208 0x00
OBS: 59023.280 g NULL 1274.747 105.859 19.736 0.090 0x00
OBS: 59023.280 i NULL 3252.511 135.170 18.719 0.045 0x00
OBS: 59032.280 r NULL 1718.645 170.401 19.412 0.108 0x00
OBS: 59033.270 i NULL 2972.879 121.961 18.817 0.045 0x00
OBS: 59033.270 r NULL 2746.026 122.535 18.903 0.048 0x00
OBS: 59034.270 r NULL 2032.205 96.620 19.230 0.052 0x00
OBS: 59034.270 z NULL 719.443 163.843 20.358 0.247 0x00
OBS: 59036.280 r NULL 1407.504 115.752 19.629 0.089 0x00
OBS: 59037.280 r NULL 1957.384 89.051 19.271 0.049 0x00
OBS: 59037.280 i NULL 2956.649 116.066 18.823 0.043 0x00
OBS: 59039.290 r NULL 1369.812 111.182 19.658 0.088 0x00
OBS: 59039.290 i NULL 4287.652 118.183 18.419 0.030 0x00
OBS: 59040.280 r NULL 979.712 103.073 20.022 0.114 0x00
OBS: 59040.280 z NULL 935.862 178.095 20.072 0.207 0x00
OBS: 59041.280 r NULL 2843.417 92.740 18.865 0.035 0x00
OBS: 59041.280 i NULL 3245.359 121.254 18.722 0.041 0x00
OBS: 59042.270 r NULL 1607.459 87.291 19.485 0.059 0x00
OBS: 59042.270 g NULL 1144.810 82.708 19.853 0.078 0x00
