SURVEY:  YSE
SNID:  2020byf
otherID: 
IAUC:    UNKNOWN
RA:        139.3722290  deg
DECL:       -6.1257240  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59139.505
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 15.695
MAX_MJD_GAP(days): 89.630
NOBS_BEFORE_PEAK: 37
NOBS_TO_PEAK: 38
NOBS_AFTER_PEAK: 9
SEARCH_PEAKMAG: 19.119
SEARCH_PEAKFLT: Y
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020byf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0022
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.121 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 47
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.570 r NULL 253.657 56.305 21.489 0.241 0x00
OBS: 58868.510 r NULL 390.986 63.670 21.020 0.177 0x00
OBS: 58868.520 g NULL 484.621 59.255 20.786 0.133 0x00
OBS: 58872.430 i NULL 895.012 57.027 20.120 0.069 0x00
OBS: 58872.430 g NULL 562.516 64.597 20.625 0.125 0x00
OBS: 58873.356 X 416.0 357.724 70.165 21.116 0.213 0x00
OBS: 58876.294 Y 416.0 677.126 100.169 20.423 0.161 0x00
OBS: 58876.357 X 416.0 472.165 84.651 20.815 0.195 0x00
OBS: 58880.251 X 416.0 734.496 144.625 20.335 0.214 0x00
OBS: 58880.329 Y 416.0 931.809 127.255 20.077 0.148 0x00
OBS: 58895.220 X 390.0 421.826 103.852 20.949 0.279 0x00
OBS: 58895.274 Y 398.67 766.858 98.989 20.309 0.146 0x00
OBS: 58896.233 X 416.0 614.650 72.890 20.528 0.129 0x00
OBS: 58896.286 Y 416.0 925.107 108.514 20.085 0.127 0x00
OBS: 58898.273 X 416.0 312.749 69.747 21.262 0.242 0x00
OBS: 58898.314 Y 416.0 601.361 93.783 20.554 0.169 0x00
OBS: 58899.315 Y 416.0 1002.238 104.414 19.998 0.113 0x00
OBS: 58899.356 X 416.0 471.683 90.447 20.816 0.208 0x00
OBS: 58903.229 Y 416.0 481.799 106.414 20.793 0.240 0x00
OBS: 58904.229 Y 416.0 952.483 117.721 20.053 0.134 0x00
OBS: 58904.266 X 398.67 592.346 92.779 20.583 0.178 0x00
OBS: 58905.226 Y 416.0 898.990 125.665 20.116 0.152 0x00
OBS: 58905.258 X 416.0 527.490 113.437 20.694 0.233 0x00
OBS: 58909.252 X 416.0 961.041 174.299 20.049 0.199 0x00
OBS: 58909.299 Y 416.0 1314.740 176.701 19.704 0.147 0x00
OBS: 58911.230 Y 416.0 1295.600 183.496 19.719 0.154 0x00
OBS: 58939.229 Y 416.0 705.311 166.928 20.379 0.257 0x00
OBS: 58940.170 X 416.0 612.769 127.384 20.547 0.233 0x00
OBS: 58941.211 Y 416.0 758.695 162.145 20.300 0.232 0x00
OBS: 58954.184 X 416.0 869.546 96.598 20.152 0.121 0x00
OBS: 58955.212 Y 416.0 511.496 119.003 20.743 0.256 0x00
OBS: 58962.159 Y 416.0 513.876 121.844 20.723 0.257 0x00
OBS: 58964.226 Y 416.0 642.398 137.000 20.480 0.232 0x00
OBS: 58968.187 Y 416.0 832.762 129.838 20.199 0.169 0x00
OBS: 58975.152 Y 416.0 776.618 188.393 20.274 0.263 0x00
OBS: 58979.210 X 416.0 565.181 115.804 20.620 0.222 0x00
OBS: 58987.158 Y 416.0 811.645 142.089 20.227 0.190 0x00
OBS: 59139.505 Y 416.0 2251.590 155.950 19.119 0.075 0x00
OBS: 59142.541 Y 416.0 903.371 191.521 20.110 0.230 0x00
OBS: 59144.503 X 390.0 643.292 74.905 20.483 0.128 0x00
OBS: 59156.522 Y 416.0 679.147 156.478 20.420 0.250 0x00
OBS: 59208.550 i NULL 402.846 58.385 20.987 0.157 0x00
OBS: 59220.560 z NULL 543.829 79.131 20.661 0.158 0x00
OBS: 59310.190 Y 364.0 631.820 142.264 20.499 0.244 0x00
OBS: 59316.170 Y 416.0 405.475 82.101 20.980 0.220 0x00
OBS: 59320.250 g NULL 408.331 50.947 20.972 0.135 0x00
OBS: 59320.250 r NULL 256.685 50.799 21.476 0.215 0x00
END:
