SURVEY:  YSE
SNID:  2020huf
otherID: 
IAUC:    UNKNOWN
RA:        192.9749570  deg
DECL:       16.2815590  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59248.423
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 11.576
MAX_MJD_GAP(days): 138.370
NOBS_BEFORE_PEAK: 29
NOBS_TO_PEAK: 30
NOBS_AFTER_PEAK: 24
SEARCH_PEAKMAG: 19.758
SEARCH_PEAKFLT: Y
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020huf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0025
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.119 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 54
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58954.261 Y 577.0 406.344 85.936 20.988 0.232 0x00
OBS: 58955.265 Y 577.0 397.339 87.260 21.002 0.238 0x00
OBS: 58955.460 g NULL 233.890 44.896 21.577 0.208 0x00
OBS: 58956.298 Y 577.0 332.488 82.701 21.196 0.270 0x00
OBS: 58959.350 i NULL 325.921 53.031 21.217 0.177 0x00
OBS: 58959.350 g NULL 196.945 42.905 21.764 0.237 0x00
OBS: 58962.277 Y 577.0 353.760 81.802 21.128 0.251 0x00
OBS: 58980.252 Y 577.0 276.159 66.768 21.397 0.262 0x00
OBS: 58984.270 g NULL 321.241 48.895 21.233 0.165 0x00
OBS: 58984.280 i NULL 472.300 56.074 20.814 0.129 0x00
OBS: 58987.270 g NULL 478.601 57.069 20.800 0.129 0x00
OBS: 58987.280 r NULL 513.067 67.307 20.725 0.142 0x00
OBS: 58990.270 g NULL 229.627 47.217 21.597 0.223 0x00
OBS: 58990.270 i NULL 459.724 66.022 20.844 0.156 0x00
OBS: 58991.229 Y 577.0 440.743 74.734 20.890 0.184 0x00
OBS: 58992.350 g NULL 297.548 74.292 21.316 0.271 0x00
OBS: 59021.270 r NULL 250.515 47.508 21.503 0.206 0x00
OBS: 59022.270 g NULL 220.000 52.082 21.644 0.257 0x00
OBS: 59022.270 i NULL 342.847 54.358 21.162 0.172 0x00
OBS: 59044.280 g NULL 337.783 80.165 21.178 0.258 0x00
OBS: 59048.270 r NULL 357.658 65.738 21.116 0.200 0x00
OBS: 59186.640 z NULL 1021.306 156.613 19.977 0.166 0x00
OBS: 59193.534 Y 577.0 616.377 102.482 20.525 0.181 0x00
OBS: 59223.483 Y 577.0 593.900 114.183 20.566 0.209 0x00
OBS: 59227.484 X 577.0 455.913 81.806 20.853 0.195 0x00
OBS: 59227.504 Y 577.0 749.300 114.585 20.313 0.166 0x00
OBS: 59229.507 Y 577.0 921.748 131.628 20.088 0.155 0x00
OBS: 59231.456 X 577.0 356.073 68.226 21.121 0.208 0x00
OBS: 59231.485 Y 577.0 754.682 83.385 20.306 0.120 0x00
OBS: 59248.423 Y 577.0 1249.352 107.930 19.758 0.094 0x00
OBS: 59250.429 Y 577.0 679.225 127.513 20.420 0.204 0x00
OBS: 59256.425 Y 577.0 602.520 92.437 20.550 0.167 0x00
OBS: 59256.490 X 577.0 358.362 74.582 21.114 0.226 0x00
OBS: 59307.268 Y 577.0 537.421 88.775 20.674 0.179 0x00
OBS: 59307.301 X 577.0 275.211 68.185 21.401 0.269 0x00
OBS: 59309.290 Y 577.0 485.666 83.594 20.784 0.187 0x00
OBS: 59313.312 Y 577.0 446.189 96.026 20.876 0.234 0x00
OBS: 59317.333 Y 577.0 512.357 82.761 20.726 0.175 0x00
OBS: 59321.296 Y 577.0 402.408 74.867 20.988 0.202 0x00
OBS: 59325.275 Y 577.0 472.059 101.201 20.815 0.233 0x00
OBS: 59334.273 Y 577.0 432.815 98.923 20.909 0.248 0x00
OBS: 59336.316 Y 577.0 293.614 69.100 21.331 0.256 0x00
OBS: 59339.272 Y 577.0 318.828 78.180 21.241 0.266 0x00
OBS: 59341.230 Y 577.0 556.629 87.616 20.636 0.171 0x00
OBS: 59341.299 X 577.0 286.149 69.997 21.359 0.266 0x00
OBS: 59343.213 Y 577.0 659.502 77.905 20.452 0.128 0x00
OBS: 59343.253 X 577.0 411.568 71.804 20.964 0.189 0x00
OBS: 59345.176 X 577.0 336.177 69.496 21.184 0.224 0x00
OBS: 59345.197 Y 577.0 665.589 86.952 20.442 0.142 0x00
OBS: 59348.319 Y 577.0 476.779 85.298 20.804 0.194 0x00
OBS: 59350.270 Y 577.0 508.661 113.553 20.734 0.242 0x00
OBS: 59369.207 Y 577.0 379.605 78.624 21.052 0.225 0x00
OBS: 59371.215 Y 577.0 440.056 81.555 20.891 0.201 0x00
OBS: 59531.538 Y 577.0 475.464 109.452 20.813 0.252 0x00
END:
