SURVEY:  YSE
SNID:  2020rxj
otherID: 
IAUC:    UNKNOWN
RA:        33.5576670  deg
DECL:       40.0528000  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 58828.201
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 30.008
MAX_MJD_GAP(days): 17.955
NOBS_BEFORE_PEAK: 7
NOBS_TO_PEAK: 8
NOBS_AFTER_PEAK: 159
SEARCH_PEAKMAG: 18.925
SEARCH_PEAKFLT: Y
FILTERS: rXYi
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rxj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0040
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.578 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 167
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58779.394 X 1696.0 335.167 81.766 21.211 0.278 0x00
OBS: 58785.382 X 1696.0 521.169 98.200 20.740 0.213 0x00
OBS: 58788.369 X 1696.0 416.101 99.071 20.952 0.259 0x00
OBS: 58789.364 X 1696.0 402.124 97.254 21.014 0.278 0x00
OBS: 58794.268 X 698.0 501.644 108.486 20.749 0.235 0x00
OBS: 58811.237 X 1696.0 410.841 95.845 20.966 0.253 0x00
OBS: 58819.258 Y 698.0 736.778 128.382 20.332 0.189 0x00
OBS: 58828.201 Y 698.0 2691.783 623.466 18.925 0.251 0x00
OBS: 58831.157 X 698.0 322.732 67.085 21.228 0.226 0x00
OBS: 58849.112 X 697.33 442.599 78.636 20.904 0.199 0x00
OBS: 58850.162 X 697.0 495.252 121.072 20.763 0.265 0x00
OBS: 58855.203 Y 698.0 803.677 171.573 20.237 0.232 0x00
OBS: 58856.177 Y 698.0 621.698 141.786 20.516 0.248 0x00
OBS: 58859.190 Y 697.33 785.473 168.203 20.313 0.253 0x00
OBS: 58861.158 Y 697.0 561.852 125.537 20.626 0.243 0x00
OBS: 58862.137 X 697.5 398.724 66.890 21.042 0.197 0x00
OBS: 58864.111 X 697.5 420.769 66.315 20.943 0.172 0x00
OBS: 58867.113 Y 698.0 745.882 183.038 20.318 0.266 0x00
OBS: 58871.167 X 697.5 392.035 95.019 21.043 0.275 0x00
OBS: 58872.132 Y 698.0 508.109 104.401 20.735 0.223 0x00
OBS: 58873.154 Y 698.0 564.420 89.807 20.621 0.173 0x00
OBS: 58874.138 Y 698.0 428.338 80.438 20.930 0.206 0x00
OBS: 58875.116 Y 698.0 393.949 88.180 21.011 0.243 0x00
OBS: 58875.157 X 698.0 279.038 67.045 21.386 0.261 0x00
OBS: 58880.114 X 697.0 526.747 112.726 20.696 0.232 0x00
OBS: 59013.467 Y 697.57 1036.333 217.749 19.977 0.234 0x00
OBS: 59015.467 Y 697.5 1144.541 223.609 19.860 0.214 0x00
