SURVEY:  YSE
SNID:  2020toy
otherID: 
IAUC:    UNKNOWN
RA:        52.2852080  deg
DECL:       0.1832500  deg
MWEBV:    0.100 +- 0.005 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59516.460
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 15.372
MAX_MJD_GAP(days): 19.008
NOBS_BEFORE_PEAK: 60
NOBS_TO_PEAK: 61
NOBS_AFTER_PEAK: 16
SEARCH_PEAKMAG: 19.601
SEARCH_PEAKFLT: g
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020toy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.295 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 77
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59218.173 Y 403.0 772.789 121.438 20.280 0.171 0x00
OBS: 59218.192 X 403.0 778.537 86.084 20.272 0.120 0x00
OBS: 59220.190 X 403.0 684.279 86.284 20.412 0.137 0x00
OBS: 59220.232 Y 403.0 675.666 105.125 20.426 0.169 0x00
OBS: 59224.266 Y 403.0 643.771 112.483 20.478 0.190 0x00
OBS: 59230.127 Y 403.0 695.327 120.490 20.395 0.188 0x00
OBS: 59232.165 Y 403.0 1004.752 97.661 19.995 0.106 0x00
OBS: 59251.173 Y 403.0 859.255 114.015 20.165 0.144 0x00
OBS: 59253.150 Y 403.0 862.832 88.579 20.160 0.111 0x00
OBS: 59253.207 X 403.0 885.431 100.714 20.132 0.123 0x00
OBS: 59255.153 X 403.0 719.478 82.286 20.357 0.124 0x00
OBS: 59257.129 Y 403.0 778.726 109.176 20.272 0.152 0x00
OBS: 59257.151 X 403.0 832.824 71.799 20.199 0.094 0x00
OBS: 59260.132 X 403.0 775.267 154.432 20.276 0.216 0x00
OBS: 59265.152 X 403.0 749.002 132.763 20.314 0.192 0x00
OBS: 59267.134 Y 403.0 758.924 156.870 20.300 0.224 0x00
OBS: 59276.137 Y 403.0 781.572 133.899 20.268 0.186 0x00
OBS: 59434.443 X 403.0 723.740 107.180 20.351 0.161 0x00
OBS: 59434.464 Y 403.0 727.198 82.605 20.346 0.123 0x00
OBS: 59436.442 X 403.0 550.929 101.804 20.647 0.201 0x00
OBS: 59439.456 X 403.0 711.298 121.682 20.370 0.186 0x00
OBS: 59439.467 Y 403.0 773.989 108.994 20.278 0.153 0x00
OBS: 59442.444 Y 403.0 451.998 94.267 20.862 0.226 0x00
OBS: 59442.481 X 403.0 745.357 96.936 20.319 0.141 0x00
OBS: 59446.484 X 403.0 449.220 98.802 20.869 0.239 0x00
OBS: 59456.443 Y 403.0 830.155 135.158 20.202 0.177 0x00
OBS: 59456.484 X 403.0 779.924 146.250 20.270 0.204 0x00
