SURVEY:  YSE
SNID:  2020try
otherID: 
IAUC:    UNKNOWN
RA:        53.4620830  deg
DECL:       -5.4247690  deg
MWEBV:    0.040 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59271.173
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 20.281
MAX_MJD_GAP(days): 19.008
NOBS_BEFORE_PEAK: 135
NOBS_TO_PEAK: 136
NOBS_AFTER_PEAK: 53
SEARCH_PEAKMAG: 19.501
SEARCH_PEAKFLT: X
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020try.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0017
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.581 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 189
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59073.422 X 403.0 880.943 206.473 20.138 0.254 0x00
OBS: 59073.464 Y 403.0 630.144 152.303 20.501 0.262 0x00
OBS: 59075.439 X 403.0 981.420 133.913 20.020 0.148 0x00
OBS: 59075.481 Y 403.0 862.573 109.045 20.161 0.137 0x00
OBS: 59076.483 X 403.0 1013.370 86.752 19.986 0.093 0x00
OBS: 59077.435 X 403.0 954.731 95.226 20.050 0.108 0x00
OBS: 59077.484 Y 403.0 871.295 91.726 20.150 0.114 0x00
OBS: 59080.463 X 403.0 890.289 100.162 20.126 0.122 0x00
OBS: 59080.498 Y 403.0 762.348 110.834 20.295 0.158 0x00
OBS: 59081.444 Y 403.0 737.141 105.781 20.331 0.156 0x00
OBS: 59081.482 X 403.0 865.690 99.101 20.157 0.124 0x00
OBS: 59082.452 X 403.0 931.310 135.910 20.077 0.158 0x00
OBS: 59082.488 Y 403.0 720.253 129.000 20.356 0.194 0x00
OBS: 59083.478 Y 403.0 765.965 114.740 20.289 0.163 0x00
OBS: 59083.490 X 403.0 917.257 117.563 20.094 0.139 0x00
OBS: 59084.449 X 899.5 680.866 92.128 20.542 0.183 0x00
OBS: 59085.445 X 403.0 1027.962 85.251 19.970 0.090 0x00
OBS: 59085.485 Y 403.0 835.041 82.533 20.196 0.107 0x00
OBS: 59086.449 Y 403.0 708.492 93.352 20.374 0.143 0x00
OBS: 59086.480 X 403.0 1092.591 83.777 19.904 0.083 0x00
OBS: 59087.448 Y 403.0 1003.537 111.869 19.996 0.121 0x00
OBS: 59087.481 X 403.0 991.057 87.457 20.010 0.096 0x00
OBS: 59088.495 X 403.0 1014.362 106.532 19.985 0.114 0x00
OBS: 59089.472 Y 403.0 983.317 122.874 20.018 0.136 0x00
OBS: 59089.484 X 403.0 1058.551 97.638 19.938 0.100 0x00
OBS: 59090.431 X 403.0 1013.532 94.510 19.985 0.101 0x00
OBS: 59090.996 Y 403.0 899.392 82.806 20.116 0.100 0x00
OBS: 59091.430 X 899.5 804.938 126.974 20.329 0.208 0x00
OBS: 59092.428 X 403.0 1027.691 188.924 19.970 0.200 0x00
OBS: 59093.440 X 403.0 1014.359 238.204 19.985 0.255 0x00
OBS: 59095.493 X 403.0 1504.119 228.834 19.557 0.165 0x00
OBS: 59095.590 r NULL 699.533 111.855 20.388 0.174 0x00
OBS: 59095.590 i NULL 729.085 88.206 20.343 0.131 0x00
OBS: 59096.398 Y 403.0 1447.042 295.445 19.599 0.222 0x00
OBS: 59106.519 X 403.0 1486.595 211.519 19.570 0.154 0x00
OBS: 59108.369 X 403.0 980.904 157.899 20.021 0.175 0x00
OBS: 59108.462 Y 403.0 951.509 111.298 20.054 0.127 0x00
OBS: 59111.396 X 403.0 1282.899 91.559 19.730 0.077 0x00
OBS: 59111.420 Y 403.0 1048.184 91.715 19.949 0.095 0x00
OBS: 59114.352 X 403.0 1207.464 100.136 19.795 0.090 0x00
OBS: 59114.460 Y 403.0 988.289 90.620 20.013 0.100 0x00
OBS: 59114.570 g NULL 1027.544 94.991 19.970 0.100 0x00
OBS: 59114.570 r NULL 1208.927 79.570 19.794 0.071 0x00
OBS: 59115.389 Y 403.0 917.251 93.880 20.094 0.111 0x00
OBS: 59116.434 Y 403.0 814.197 90.789 20.223 0.121 0x00
OBS: 59117.381 Y 403.0 921.777 93.665 20.088 0.110 0x00
OBS: 59118.478 X 403.0 1120.250 68.548 19.877 0.066 0x00
OBS: 59118.550 z NULL 1126.370 145.425 19.871 0.140 0x00
