SURVEY:  YSE
SNID:  2020vqk
otherID: 
IAUC:    UNKNOWN
RA:        54.0734390  deg
DECL:       -26.7383350  deg
MWEBV:    0.009 +- 0.000 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59125.550
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 35.689
MAX_MJD_GAP(days): 30.914
NOBS_BEFORE_PEAK: 4
NOBS_TO_PEAK: 5
NOBS_AFTER_PEAK: 48
SEARCH_PEAKMAG: 18.068
SEARCH_PEAKFLT: z
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020vqk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.370 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 53
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59080.610 i NULL 654.739 96.155 20.460 0.159 0x00
OBS: 59099.620 i NULL 762.441 177.967 20.294 0.253 0x00
OBS: 59101.630 z NULL 1086.634 119.839 19.910 0.120 0x00
OBS: 59125.550 r NULL 4281.438 125.452 18.421 0.032 0x00
OBS: 59125.550 z NULL 5927.487 211.425 18.068 0.039 0x00
OBS: 59130.434 Y 252 904.326 109.989 20.109 0.132 0x00
OBS: 59134.400 X 252 843.592 151.810 20.185 0.195 0x00
OBS: 59134.550 r NULL 1472.542 101.119 19.580 0.075 0x00
OBS: 59134.550 g NULL 1016.375 105.595 19.982 0.113 0x00
OBS: 59136.376 X 252 522.426 87.322 20.705 0.181 0x00
OBS: 59136.493 Y 252 823.729 130.070 20.211 0.171 0x00
OBS: 59138.530 i NULL 1969.549 342.365 19.264 0.189 0x00
OBS: 59138.530 g NULL 712.693 113.267 20.368 0.173 0x00
OBS: 59143.369 X 252 663.894 76.344 20.445 0.125 0x00
OBS: 59149.356 Y 252 1068.963 235.858 19.928 0.240 0x00
OBS: 59149.442 X 252 897.185 183.752 20.118 0.222 0x00
OBS: 59153.440 z NULL 1996.509 156.902 19.249 0.085 0x00
OBS: 59153.450 r NULL 1389.315 135.543 19.643 0.106 0x00
OBS: 59156.470 r NULL 1162.510 87.401 19.837 0.082 0x00
OBS: 59156.480 i NULL 1932.121 96.890 19.285 0.054 0x00
OBS: 59165.309 X 252 583.760 94.578 20.584 0.176 0x00
OBS: 59165.330 Y 252 874.331 98.245 20.146 0.122 0x00
OBS: 59166.351 Y 252 1339.019 140.701 19.683 0.114 0x00
OBS: 59166.380 X 252 656.464 117.869 20.457 0.195 0x00
OBS: 59167.460 g NULL 1718.653 92.796 19.412 0.059 0x00
OBS: 59167.460 r NULL 2632.797 118.141 18.949 0.049 0x00
OBS: 59169.273 Y 252 659.025 123.158 20.453 0.203 0x00
OBS: 59172.294 X 252 571.659 115.576 20.607 0.220 0x00
OBS: 59172.450 g NULL 575.109 83.866 20.601 0.158 0x00
OBS: 59172.450 i NULL 1056.462 120.612 19.940 0.124 0x00
OBS: 59176.261 X 252 795.427 172.805 20.248 0.236 0x00
OBS: 59176.298 Y 252 761.552 167.584 20.296 0.239 0x00
OBS: 59182.410 r NULL 1091.076 178.939 19.905 0.178 0x00
OBS: 59182.410 i NULL 1768.950 129.480 19.381 0.079 0x00
OBS: 59185.252 Y 252 1823.666 240.848 19.348 0.143 0x00
OBS: 59185.306 X 252 1374.792 281.579 19.654 0.222 0x00
OBS: 59193.257 Y 252 1835.671 119.391 19.341 0.071 0x00
OBS: 59193.345 X 252 1697.873 176.386 19.425 0.113 0x00
OBS: 59193.420 i NULL 4404.254 123.405 18.390 0.030 0x00
OBS: 59193.420 g NULL 2456.868 93.270 19.024 0.041 0x00
OBS: 59195.232 X 252 1141.514 136.050 19.856 0.129 0x00
OBS: 59195.252 Y 252 1303.839 157.625 19.712 0.131 0x00
OBS: 59200.188 X 252 865.503 198.428 20.157 0.249 0x00
OBS: 59200.231 Y 252 710.335 117.622 20.371 0.180 0x00
OBS: 59202.236 X 252 897.526 179.306 20.117 0.217 0x00
OBS: 59202.306 Y 252 1173.230 273.869 19.827 0.253 0x00
OBS: 59204.282 Y 252 866.456 185.571 20.156 0.233 0x00
OBS: 59210.275 Y 252 1563.878 284.062 19.514 0.197 0x00
OBS: 59218.168 Y 252 1183.850 193.909 19.817 0.178 0x00
OBS: 59218.209 X 252 779.943 147.924 20.270 0.206 0x00
OBS: 59220.210 Y 252 625.703 147.351 20.509 0.256 0x00
OBS: 59251.125 X 252 841.251 142.924 20.188 0.184 0x00
OBS: 59251.187 Y 252 1351.649 211.406 19.673 0.170 0x00
END:
