SURVEY:  YSE
SNID:  2020xkn
otherID: 
IAUC:    UNKNOWN
RA:        132.1596380  deg
DECL:       47.8887220  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59216.385
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 25.586
MAX_MJD_GAP(days): 75.316
NOBS_BEFORE_PEAK: 93
NOBS_TO_PEAK: 94
NOBS_AFTER_PEAK: 90
SEARCH_PEAKMAG: 19.050
SEARCH_PEAKFLT: Y
FILTERS: rXYi
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020xkn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0068
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.526 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 184
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58941.218 Y 749 1214.862 139.569 19.789 0.125 0x00
OBS: 58944.161 Y 749 794.115 172.093 20.250 0.235 0x00
OBS: 58954.200 Y 749 641.637 87.864 20.482 0.149 0x00
OBS: 58955.207 Y 749 701.699 84.618 20.385 0.131 0x00
OBS: 58956.179 Y 749 508.689 84.002 20.734 0.179 0x00
OBS: 58962.185 Y 749 652.897 81.889 20.464 0.136 0x00
OBS: 58964.216 Y 749 580.887 90.017 20.590 0.168 0x00
OBS: 58966.174 Y 749 487.558 96.495 20.780 0.215 0x00
OBS: 58968.165 Y 749 660.907 92.140 20.450 0.151 0x00
OBS: 58970.177 Y 749 706.564 130.947 20.408 0.212 0x00
OBS: 58971.156 Y 749 802.953 114.168 20.241 0.156 0x00
OBS: 58972.181 Y 749 748.577 130.393 20.319 0.190 0x00
OBS: 58973.177 Y 749 1022.152 180.044 19.976 0.191 0x00
OBS: 58974.229 Y 749 866.624 159.762 20.155 0.200 0x00
OBS: 58975.187 Y 749 932.861 155.126 20.082 0.184 0x00
OBS: 58978.178 X 749 292.222 72.134 21.336 0.268 0x00
OBS: 58978.236 Y 749 864.492 152.495 20.158 0.192 0x00
OBS: 58981.161 X 749 336.463 83.733 21.183 0.270 0x00
OBS: 58981.222 Y 749 762.967 105.732 20.296 0.151 0x00
OBS: 58985.178 X 749 313.721 72.638 21.259 0.251 0x00
OBS: 58986.174 X 749 326.952 80.725 21.214 0.268 0x00
OBS: 58986.269 Y 749 955.367 129.219 20.050 0.147 0x00
OBS: 58987.179 Y 749 1015.696 81.536 19.991 0.088 0x00
OBS: 58995.221 Y 749 835.246 119.157 20.195 0.155 0x00
OBS: 58996.227 Y 749 1098.618 138.773 19.900 0.138 0x00
OBS: 58999.176 Y 749 1018.713 183.435 19.985 0.196 0x00
OBS: 59004.177 Y 749 948.730 201.872 20.059 0.232 0x00
OBS: 59011.177 Y 749 968.821 178.018 20.067 0.205 0x00
OBS: 59012.180 Y 749 1078.120 128.933 19.920 0.130 0x00
OBS: 59014.179 Y 749 1024.780 164.900 19.988 0.175 0x00
OBS: 59016.181 Y 749 1068.735 186.549 19.936 0.192 0x00
OBS: 59091.497 Y 749 1638.637 105.541 19.464 0.070 0x00
OBS: 59091.510 Y 749 1644.865 175.197 19.463 0.119 0x00
OBS: 59092.516 X 749 1379.020 342.387 19.651 0.270 0x00
OBS: 59093.498 Y 749 1499.573 260.877 19.560 0.189 0x00
OBS: 59093.508 Y 749 1500.601 243.497 19.565 0.178 0x00
OBS: 59095.499 Y 749 1533.211 236.007 19.536 0.167 0x00
