SURVEY:  YSE
SNID:  2020yhw
otherID: 
IAUC:    UNKNOWN
RA:        310.4677830  deg
DECL:       -0.4379250  deg
MWEBV:    0.053 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59481.400
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 105.555
MAX_MJD_GAP(days): 5.964
NOBS_BEFORE_PEAK: 134
NOBS_TO_PEAK: 135
NOBS_AFTER_PEAK: 36
SEARCH_PEAKMAG: 15.169
SEARCH_PEAKFLT: z
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020yhw.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.488 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 171
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59184.092 Y 440 7321.294 217.452 17.839 0.032 0x00
OBS: 59184.129 X 440 3611.384 330.845 18.606 0.099 0x00
OBS: 59186.094 Y 440 984.979 238.397 20.016 0.263 0x00
OBS: 59186.149 X 440 4922.368 535.275 18.270 0.118 0x00
OBS: 59188.094 Y 440 12449.740 199.046 17.262 0.017 0x00
OBS: 59325.442 X 440 2502.730 138.979 19.004 0.060 0x00
OBS: 59325.481 Y 440 7420.249 149.386 17.824 0.022 0x00
OBS: 59327.570 r NULL 14960.510 729.697 17.063 0.053 0x00
OBS: 59329.444 Y 440 7593.184 246.253 17.799 0.035 0x00
OBS: 59329.476 X 440 5477.463 218.040 18.154 0.043 0x00
OBS: 59335.440 X 440 5203.474 303.688 18.209 0.063 0x00
OBS: 59337.420 X 440 3010.735 359.269 18.803 0.130 0x00
OBS: 59337.465 Y 440 10506.487 252.434 17.446 0.026 0x00
OBS: 59339.427 X 440 4434.987 135.752 18.383 0.033 0x00
OBS: 59339.477 Y 440 7653.846 148.127 17.790 0.021 0x00
OBS: 59342.446 Y 440 9518.733 136.014 17.554 0.016 0x00
OBS: 59342.468 X 440 2824.233 86.117 18.873 0.033 0x00
OBS: 59345.427 X 440 4632.586 125.417 18.335 0.029 0x00
OBS: 59345.474 Y 440 13346.243 159.078 17.187 0.013 0x00
OBS: 59345.600 g NULL 8954.195 182.615 17.620 0.022 0x00
OBS: 59348.422 Y 440 7695.533 137.999 17.784 0.019 0x00
OBS: 59348.444 X 440 2701.737 83.374 18.921 0.034 0x00
OBS: 59348.600 g NULL 8453.139 246.940 17.682 0.032 0x00
OBS: 59351.590 g NULL 7120.350 244.681 17.869 0.037 0x00
OBS: 59351.590 i NULL 20458.030 1917.488 16.723 0.102 0x00
OBS: 59352.426 Y 440 7796.912 132.215 17.770 0.018 0x00
OBS: 59352.463 X 440 4151.710 101.970 18.454 0.027 0x00
OBS: 59354.444 X 440 1903.880 136.917 19.301 0.078 0x00
