SURVEY:  YSE
SNID:  2020znk
otherID: 
IAUC:    UNKNOWN
RA:        138.7420920  deg
DECL:       23.5579580  deg
MWEBV:    0.039 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 58980.260
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 13.479
MAX_MJD_GAP(days): 47.954
NOBS_BEFORE_PEAK: 71
NOBS_TO_PEAK: 72
NOBS_AFTER_PEAK: 89
SEARCH_PEAKMAG: 19.580
SEARCH_PEAKFLT: z
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020znk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.419 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 161
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58764.487 Y 618.0 423.725 104.596 20.932 0.268 0x00
OBS: 58783.493 Y 1615.0 595.421 146.061 20.563 0.266 0x00
OBS: 58788.506 X 618.0 397.273 92.367 21.002 0.252 0x00
OBS: 58791.503 Y 618.0 544.800 96.540 20.659 0.192 0x00
OBS: 58798.545 X 618.0 521.337 119.001 20.707 0.248 0x00
OBS: 58846.499 X 618.0 269.946 67.175 21.422 0.270 0x00
OBS: 58852.432 Y 618.0 343.623 71.237 21.161 0.225 0x00
OBS: 58852.492 X 618.0 290.671 63.248 21.342 0.236 0x00
OBS: 58853.425 Y 618.0 281.883 66.946 21.375 0.258 0x00
OBS: 58853.476 X 618.0 275.793 63.644 21.399 0.251 0x00
OBS: 58856.311 Y 618.0 569.780 136.930 20.611 0.261 0x00
OBS: 58866.385 X 618.0 374.592 73.868 21.068 0.214 0x00
OBS: 58867.343 Y 618.0 474.082 100.606 20.810 0.230 0x00
OBS: 58867.384 X 618.0 391.468 75.247 21.018 0.209 0x00
OBS: 58867.440 g NULL 333.657 54.329 21.192 0.177 0x00
OBS: 58867.440 i NULL 442.710 71.303 20.885 0.175 0x00
OBS: 58871.298 Y 618.0 441.144 99.804 20.890 0.247 0x00
OBS: 58871.403 X 618.0 348.797 85.264 21.146 0.266 0x00
OBS: 58873.280 Y 618.0 389.729 72.966 21.023 0.203 0x00
OBS: 58874.354 X 618.0 316.400 60.426 21.249 0.207 0x00
OBS: 58876.249 X 618.0 374.237 68.488 21.067 0.199 0x00
OBS: 58876.289 Y 618.0 336.219 75.570 21.183 0.244 0x00
OBS: 58876.440 r NULL 386.034 57.163 21.033 0.161 0x00
OBS: 58876.440 g NULL 398.008 81.198 21.000 0.222 0x00
OBS: 58877.247 X 618.0 566.769 96.565 20.616 0.185 0x00
OBS: 58878.430 i NULL 475.330 79.346 20.808 0.181 0x00
OBS: 58878.430 g NULL 422.417 57.581 20.936 0.148 0x00
OBS: 58879.239 X 618.0 525.677 130.915 20.699 0.272 0x00
OBS: 58880.268 X 618.0 389.867 93.703 21.023 0.262 0x00
OBS: 58880.420 i NULL 521.365 121.973 20.707 0.254 0x00
OBS: 58880.420 g NULL 625.504 123.184 20.509 0.214 0x00
OBS: 58884.480 i NULL 654.130 156.153 20.461 0.259 0x00
OBS: 58884.490 r NULL 374.634 79.432 21.066 0.230 0x00
OBS: 58892.257 Y 1116.5 481.177 93.247 20.808 0.217 0x00
OBS: 58893.232 X 618.0 465.511 67.176 20.837 0.158 0x00
OBS: 58893.267 Y 618.0 429.407 76.168 20.983 0.220 0x00
OBS: 58894.194 X 618.0 365.230 74.307 21.094 0.221 0x00
OBS: 58894.225 Y 618.0 455.006 85.213 20.855 0.203 0x00
OBS: 58895.228 X 618.0 374.859 79.299 21.065 0.230 0x00
OBS: 58896.241 X 618.0 483.700 68.156 20.791 0.154 0x00
OBS: 58896.277 Y 1016.8 407.834 79.496 20.981 0.213 0x00
OBS: 58898.243 X 618.0 510.815 62.985 20.729 0.134 0x00
OBS: 58899.215 X 618.0 441.076 73.513 20.889 0.181 0x00
OBS: 58899.262 Y 1116.5 363.089 71.147 21.107 0.215 0x00
OBS: 58900.231 Y 1282.67 465.706 77.475 20.874 0.197 0x00
OBS: 58903.213 Y 618.0 445.407 78.942 20.878 0.192 0x00
OBS: 58903.272 X 618.0 465.603 65.895 20.837 0.155 0x00
OBS: 58906.273 X 618.0 381.764 80.302 21.046 0.228 0x00
OBS: 58919.410 i NULL 485.408 118.829 20.785 0.266 0x00
OBS: 58930.240 r NULL 469.677 74.314 20.821 0.172 0x00
OBS: 58930.240 g NULL 366.488 66.328 21.090 0.196 0x00
OBS: 58939.176 Y 1282.67 625.436 89.255 20.513 0.156 0x00
OBS: 58947.340 z NULL 1107.609 165.512 19.889 0.162 0x00
OBS: 58954.180 X 618.0 607.964 81.918 20.540 0.146 0x00
OBS: 58954.206 Y 618.0 643.758 88.892 20.478 0.150 0x00
OBS: 58961.270 g NULL 508.726 46.559 20.734 0.099 0x00
OBS: 58961.270 r NULL 501.087 50.144 20.750 0.109 0x00
OBS: 58962.174 Y 618.0 585.649 86.547 20.581 0.160 0x00
OBS: 58962.207 X 618.0 407.085 74.542 20.976 0.199 0x00
OBS: 58965.206 X 618.0 665.881 79.599 20.442 0.130 0x00
OBS: 58966.300 i NULL 861.384 72.929 20.162 0.092 0x00
OBS: 58966.300 g NULL 621.103 71.795 20.517 0.126 0x00
OBS: 58967.145 Y 618.0 615.168 105.857 20.528 0.187 0x00
OBS: 58972.163 Y 618.0 1073.602 166.215 19.923 0.168 0x00
OBS: 58973.250 r NULL 589.604 85.024 20.574 0.157 0x00
OBS: 58973.260 i NULL 939.568 89.200 20.068 0.103 0x00
OBS: 58974.300 z NULL 833.608 196.280 20.198 0.256 0x00
OBS: 58974.300 r NULL 519.501 115.868 20.711 0.242 0x00
OBS: 58978.185 X 618.0 800.234 90.332 20.242 0.123 0x00
OBS: 58978.234 Y 618.0 646.299 157.662 20.474 0.265 0x00
OBS: 58980.260 r NULL 631.432 60.661 20.499 0.104 0x00
OBS: 58980.260 z NULL 1472.037 126.161 19.580 0.093 0x00
OBS: 58981.173 X 618.0 595.021 76.735 20.564 0.140 0x00
OBS: 58981.215 Y 618.0 644.588 131.885 20.477 0.222 0x00
OBS: 58984.260 z NULL 1169.259 106.725 19.830 0.099 0x00
OBS: 58984.260 g NULL 566.515 59.299 20.617 0.114 0x00
OBS: 58987.185 Y 618.0 771.927 87.302 20.281 0.123 0x00
OBS: 58987.260 r NULL 646.021 87.214 20.474 0.147 0x00
OBS: 58987.260 g NULL 707.369 66.850 20.376 0.103 0x00
OBS: 58989.270 g NULL 545.199 62.263 20.659 0.124 0x00
OBS: 58989.270 i NULL 781.343 85.354 20.268 0.119 0x00
OBS: 58999.165 Y 618.0 720.872 178.503 20.355 0.269 0x00
OBS: 59012.182 Y 618.0 707.415 140.526 20.386 0.220 0x00
OBS: 59014.181 Y 618.0 695.003 166.477 20.410 0.263 0x00
OBS: 59016.185 Y 618.0 855.276 208.844 20.171 0.266 0x00
OBS: 59128.527 Y 618.0 1017.183 220.412 19.982 0.235 0x00
OBS: 59135.445 X 618.0 530.550 117.684 20.688 0.241 0x00
OBS: 59135.511 Y 618.0 508.941 111.131 20.733 0.237 0x00
OBS: 59137.475 X 618.0 574.478 94.153 20.602 0.178 0x00
OBS: 59139.453 X 618.0 706.202 141.587 20.378 0.218 0x00
OBS: 59139.514 Y 618.0 680.473 97.689 20.418 0.156 0x00
OBS: 59141.472 X 618.0 732.350 81.607 20.338 0.121 0x00
OBS: 59141.505 Y 618.0 837.761 85.476 20.192 0.111 0x00
OBS: 59143.496 Y 618.0 700.712 87.184 20.386 0.135 0x00
OBS: 59143.512 X 618.0 790.950 70.505 20.255 0.097 0x00
OBS: 59145.456 X 618.0 780.332 91.192 20.269 0.127 0x00
OBS: 59145.517 Y 618.0 726.262 82.149 20.347 0.123 0x00
OBS: 59149.498 X 618.0 745.649 102.318 20.319 0.149 0x00
OBS: 59150.509 X 618.0 793.331 73.018 20.251 0.100 0x00
OBS: 59150.529 Y 618.0 809.800 104.378 20.229 0.140 0x00
OBS: 59152.486 Y 618.0 584.420 142.201 20.583 0.264 0x00
OBS: 59152.537 X 618.0 756.184 126.944 20.303 0.182 0x00
OBS: 59155.509 X 618.0 846.635 144.735 20.181 0.186 0x00
OBS: 59157.461 Y 618.0 743.986 184.054 20.321 0.269 0x00
OBS: 59157.507 X 618.0 672.819 156.767 20.430 0.253 0x00
OBS: 59157.620 r NULL 605.704 62.972 20.544 0.113 0x00
OBS: 59157.620 i NULL 910.721 89.641 20.102 0.107 0x00
OBS: 59159.464 Y 618.0 848.392 137.075 20.179 0.175 0x00
OBS: 59165.455 X 618.0 658.452 72.833 20.454 0.120 0x00
OBS: 59165.496 Y 618.0 809.690 72.011 20.229 0.097 0x00
OBS: 59165.620 g NULL 455.706 70.908 20.853 0.169 0x00
OBS: 59165.630 i NULL 901.421 96.770 20.113 0.117 0x00
OBS: 59168.454 Y 618.0 659.832 93.455 20.451 0.154 0x00
OBS: 59168.486 X 618.0 526.981 66.382 20.696 0.137 0x00
OBS: 59169.590 i NULL 767.365 73.162 20.287 0.104 0x00
OBS: 59169.590 g NULL 590.617 68.438 20.572 0.126 0x00
OBS: 59170.465 X 618.0 523.116 73.133 20.704 0.152 0x00
OBS: 59170.518 Y 618.0 520.809 78.263 20.708 0.163 0x00
OBS: 59172.570 r NULL 567.825 58.225 20.614 0.111 0x00
OBS: 59172.580 g NULL 623.650 59.540 20.513 0.104 0x00
OBS: 59173.464 X 618.0 438.696 87.845 20.895 0.217 0x00
