SURVEY:  YSE
SNID:  2021kgl
otherID: 
IAUC:    UNKNOWN
RA:        227.5739370  deg
DECL:       12.9724830  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 58675.234
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 29.415
MAX_MJD_GAP(days): 61.456
NOBS_BEFORE_PEAK: 25
NOBS_TO_PEAK: 26
NOBS_AFTER_PEAK: 93
SEARCH_PEAKMAG: 19.105
SEARCH_PEAKFLT: Y
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kgl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.337 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 119
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58628.311 Y 531 1442.738 79.657 19.602 0.060 0x00
OBS: 58632.272 Y 531 1324.671 98.125 19.695 0.080 0x00
OBS: 58632.342 X 531 1409.606 92.291 19.627 0.071 0x00
OBS: 58634.250 X 531 1417.355 70.583 19.621 0.054 0x00
OBS: 58635.212 X 531 1405.662 63.157 19.630 0.049 0x00
OBS: 58635.291 Y 531 1649.961 69.732 19.456 0.046 0x00
OBS: 58638.317 X 531 1359.747 74.302 19.666 0.059 0x00
OBS: 58641.209 X 531 1570.300 80.177 19.510 0.055 0x00
OBS: 58641.274 Y 531 1543.921 76.933 19.528 0.054 0x00
OBS: 58643.209 X 531 1308.603 105.072 19.708 0.087 0x00
OBS: 58644.209 X 531 1482.963 108.980 19.572 0.080 0x00
OBS: 58644.255 Y 531 1523.768 100.928 19.543 0.072 0x00
OBS: 58647.231 Y 531 1820.606 228.518 19.349 0.136 0x00
OBS: 58650.192 X 531 1366.600 251.478 19.661 0.200 0x00
OBS: 58650.254 Y 531 1595.173 186.373 19.493 0.127 0x00
OBS: 58654.189 Y 531 1503.232 89.269 19.557 0.064 0x00
OBS: 58654.251 X 531 1361.680 131.435 19.665 0.105 0x00
OBS: 58657.211 X 531 1432.922 80.196 19.609 0.061 0x00
OBS: 58657.255 Y 531 1645.809 90.905 19.459 0.060 0x00
OBS: 58660.210 Y 531 1363.263 89.257 19.664 0.071 0x00
OBS: 58663.212 X 531 1634.384 83.040 19.467 0.055 0x00
OBS: 58666.172 Y 531 1827.004 110.776 19.346 0.066 0x00
OBS: 58669.185 Y 531 1697.716 104.266 19.425 0.067 0x00
OBS: 58672.181 X 531 1748.540 101.249 19.393 0.063 0x00
OBS: 58672.193 Y 531 1973.923 99.380 19.262 0.055 0x00
OBS: 58675.234 Y 531 2280.615 168.067 19.105 0.080 0x00
OBS: 58675.299 X 531 1903.094 206.745 19.301 0.118 0x00
OBS: 58678.193 Y 531 1801.850 139.776 19.361 0.084 0x00
