SURVEY:  YSE
SNID:  2021ljt
otherID: 
IAUC:    UNKNOWN
RA:        189.1635540  deg
DECL:       2.9153040  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59358.253
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 23.274
MAX_MJD_GAP(days): 10.984
NOBS_BEFORE_PEAK: 137
NOBS_TO_PEAK: 138
NOBS_AFTER_PEAK: 65
SEARCH_PEAKMAG: 19.211
SEARCH_PEAKFLT: X
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ljt.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.414 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 203
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59177.527 X 474 781.609 126.529 20.268 0.176 0x00
OBS: 59188.511 Y 474 840.332 157.353 20.189 0.203 0x00
OBS: 59188.539 X 474 769.895 177.726 20.284 0.251 0x00
OBS: 59194.514 Y 474 817.294 122.169 20.219 0.162 0x00
OBS: 59195.590 g NULL 572.102 80.620 20.606 0.153 0x00
OBS: 59195.590 i NULL 678.982 77.259 20.420 0.124 0x00
OBS: 59199.519 Y 474 752.885 133.854 20.308 0.193 0x00
OBS: 59199.543 X 474 963.217 109.375 20.041 0.123 0x00
OBS: 59202.501 X 474 948.065 110.003 20.058 0.126 0x00
OBS: 59202.542 Y 474 935.039 137.534 20.073 0.160 0x00
OBS: 59204.469 X 474 1055.345 96.315 19.942 0.099 0x00
OBS: 59204.506 Y 474 968.689 103.805 20.035 0.116 0x00
OBS: 59204.660 g NULL 744.267 95.679 20.321 0.140 0x00
OBS: 59207.650 r NULL 370.681 72.676 21.077 0.213 0x00
OBS: 59207.660 z NULL 529.612 112.483 20.690 0.231 0x00
OBS: 59214.640 i NULL 791.288 151.071 20.254 0.207 0x00
OBS: 59215.541 Y 474 894.348 219.715 20.121 0.267 0x00
OBS: 59216.514 Y 474 1147.545 188.054 19.851 0.178 0x00
OBS: 59216.535 X 474 1404.938 254.644 19.631 0.197 0x00
OBS: 59218.478 X 474 902.366 183.321 20.112 0.221 0x00
OBS: 59218.498 Y 474 1174.208 140.532 19.826 0.130 0x00
OBS: 59221.448 Y 474 958.709 152.190 20.046 0.172 0x00
OBS: 59223.482 Y 474 1040.075 119.558 19.957 0.125 0x00
OBS: 59223.541 X 474 1010.145 105.229 19.989 0.113 0x00
OBS: 59227.379 Y 474 1244.588 130.284 19.762 0.114 0x00
OBS: 59227.482 X 474 1040.260 94.555 19.957 0.099 0x00
OBS: 59228.630 i NULL 883.993 72.520 20.134 0.089 0x00
OBS: 59228.630 g NULL 738.170 65.338 20.330 0.096 0x00
