SURVEY:  YSE
SNID:  2021nhq
otherID: 
IAUC:    UNKNOWN
RA:        188.4225960  deg
DECL:       23.2551030  deg
MWEBV:    0.015 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59315.278
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 24.155
MAX_MJD_GAP(days): 53.891
NOBS_BEFORE_PEAK: 53
NOBS_TO_PEAK: 54
NOBS_AFTER_PEAK: 103
SEARCH_PEAKMAG: 19.398
SEARCH_PEAKFLT: X
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021nhq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.163 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 157
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59173.490 X 625 469.495 100.546 20.821 0.233 0x00
OBS: 59227.381 Y 625 391.251 76.825 21.019 0.213 0x00
OBS: 59227.464 X 625 283.460 70.183 21.369 0.269 0x00
OBS: 59231.455 X 625 392.658 55.138 21.015 0.152 0x00
OBS: 59248.423 Y 625 486.030 89.375 20.783 0.200 0x00
OBS: 59250.358 X 625 610.989 86.428 20.535 0.154 0x00
OBS: 59250.429 Y 625 556.812 107.837 20.636 0.210 0x00
OBS: 59252.331 Y 625 500.137 68.252 20.752 0.148 0x00
OBS: 59252.488 X 625 742.915 57.931 20.323 0.085 0x00
OBS: 59254.426 Y 625 698.102 165.639 20.390 0.258 0x00
OBS: 59256.425 Y 625 615.596 65.676 20.527 0.116 0x00
OBS: 59256.491 X 625 744.570 62.397 20.320 0.091 0x00
OBS: 59260.402 Y 625 668.561 112.546 20.437 0.183 0x00
OBS: 59263.359 X 625 780.086 113.499 20.270 0.158 0x00
OBS: 59265.372 Y 625 668.051 73.977 20.438 0.120 0x00
OBS: 59265.419 X 625 847.428 62.548 20.180 0.080 0x00
OBS: 59267.419 Y 625 573.314 101.468 20.604 0.192 0x00
OBS: 59269.440 X 625 875.102 118.982 20.145 0.148 0x00
OBS: 59275.385 Y 625 625.491 153.634 20.509 0.267 0x00
OBS: 59276.600 r NULL 543.455 105.396 20.662 0.211 0x00
OBS: 59278.319 X 625 835.567 67.237 20.195 0.087 0x00
OBS: 59278.404 Y 625 583.682 110.768 20.585 0.206 0x00
OBS: 59288.530 r NULL 545.279 59.787 20.658 0.119 0x00
OBS: 59288.530 g NULL 494.120 72.139 20.765 0.159 0x00
OBS: 59290.326 X 625 967.436 63.580 20.036 0.071 0x00
OBS: 59290.354 Y 625 806.782 66.621 20.233 0.090 0x00
OBS: 59292.298 X 625 1145.392 68.070 19.853 0.065 0x00
OBS: 59292.357 Y 625 802.367 64.984 20.239 0.088 0x00
