SURVEY:  YSE
SNID:  2021pau
otherID: 
IAUC:    UNKNOWN
RA:        227.4810670  deg
DECL:       10.3749420  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59307.383
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 35.032
MAX_MJD_GAP(days): 16.933
NOBS_BEFORE_PEAK: 100
NOBS_TO_PEAK: 101
NOBS_AFTER_PEAK: 146
SEARCH_PEAKMAG: 19.049
SEARCH_PEAKFLT: X
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021pau.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.175 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 247
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59009.253 X 531 592.212 107.436 20.569 0.197 0x00
OBS: 59012.253 Y 531 508.705 65.326 20.734 0.139 0x00
OBS: 59012.295 X 531 690.811 58.973 20.402 0.093 0x00
OBS: 59014.410 g NULL 370.525 64.045 21.078 0.188 0x00
OBS: 59016.200 X 531 1006.038 65.943 19.993 0.071 0x00
OBS: 59016.235 Y 531 438.749 98.798 20.894 0.244 0x00
OBS: 59017.280 g NULL 323.107 72.612 21.227 0.244 0x00
OBS: 59019.212 Y 531 644.181 67.738 20.477 0.114 0x00
OBS: 59019.255 X 531 853.115 63.498 20.172 0.081 0x00
OBS: 59021.290 g NULL 273.304 55.951 21.408 0.222 0x00
OBS: 59022.199 X 531 713.395 71.006 20.367 0.108 0x00
OBS: 59022.232 Y 531 556.428 62.467 20.636 0.122 0x00
OBS: 59024.380 g NULL 275.072 58.350 21.401 0.230 0x00
OBS: 59025.190 Y 531 440.727 102.855 20.890 0.253 0x00
OBS: 59025.231 X 531 855.748 82.614 20.169 0.105 0x00
OBS: 59028.201 X 531 976.013 102.615 20.026 0.114 0x00
OBS: 59028.213 Y 531 722.532 106.798 20.353 0.160 0x00
OBS: 59037.189 Y 531 411.395 93.989 20.964 0.248 0x00
OBS: 59040.197 Y 531 391.318 74.459 21.019 0.207 0x00
OBS: 59040.232 X 531 739.223 67.597 20.328 0.099 0x00
OBS: 59042.360 g NULL 438.846 68.568 20.894 0.170 0x00
OBS: 59043.191 X 531 673.172 71.039 20.430 0.115 0x00
OBS: 59046.189 Y 531 589.464 77.802 20.574 0.143 0x00
OBS: 59048.271 X 531 886.103 83.144 20.131 0.102 0x00
OBS: 59049.185 Y 531 388.221 74.325 21.043 0.213 0x00
OBS: 59049.208 X 531 693.994 68.759 20.397 0.108 0x00
OBS: 59051.172 X 531 655.945 98.935 20.458 0.164 0x00
OBS: 59051.192 Y 531 478.460 86.851 20.800 0.197 0x00
OBS: 59053.186 Y 531 514.287 68.444 20.722 0.144 0x00
OBS: 59057.190 X 531 576.026 119.390 20.599 0.225 0x00
OBS: 59059.173 Y 531 619.694 137.339 20.520 0.241 0x00
OBS: 59062.190 X 531 691.153 169.691 20.401 0.267 0x00
OBS: 59063.169 Y 531 566.391 129.418 20.621 0.249 0x00
OBS: 59065.190 X 531 986.116 203.402 20.015 0.224 0x00
OBS: 59066.195 X 531 663.346 162.456 20.446 0.266 0x00
OBS: 59067.181 Y 531 607.090 94.270 20.542 0.169 0x00
OBS: 59067.227 X 531 894.535 178.283 20.121 0.216 0x00
OBS: 59069.190 Y 531 475.343 79.527 20.807 0.182 0x00
OBS: 59072.224 X 531 723.689 104.997 20.351 0.158 0x00
OBS: 59073.169 Y 531 523.595 98.058 20.703 0.203 0x00
OBS: 59073.212 X 531 734.382 94.601 20.335 0.140 0x00
OBS: 59074.208 X 531 519.391 101.688 20.711 0.213 0x00
OBS: 59075.171 X 531 795.945 177.269 20.248 0.242 0x00
OBS: 59076.175 X 531 770.768 93.844 20.283 0.132 0x00
OBS: 59076.195 Y 531 608.782 116.728 20.539 0.208 0x00
OBS: 59077.228 X 531 796.519 132.030 20.247 0.180 0x00
OBS: 59078.196 X 531 650.692 90.833 20.467 0.152 0x00
OBS: 59078.270 g NULL 393.868 60.259 21.012 0.166 0x00
OBS: 59079.208 Y 531 551.740 134.310 20.646 0.264 0x00
OBS: 59080.193 X 531 722.421 154.259 20.353 0.232 0x00
OBS: 59193.558 Y 531 706.984 158.124 20.395 0.253 0x00
OBS: 59194.558 Y 531 892.194 173.750 20.124 0.211 0x00
OBS: 59196.556 Y 531 761.617 179.777 20.296 0.256 0x00
OBS: 59199.563 Y 531 867.169 189.683 20.164 0.238 0x00
OBS: 59200.557 Y 531 1186.894 257.668 19.814 0.236 0x00
OBS: 59217.489 Y 531 1205.211 171.085 19.797 0.154 0x00
OBS: 59219.490 Y 531 1114.522 203.870 19.882 0.199 0x00
OBS: 59221.497 X 531 1266.255 163.188 19.744 0.140 0x00
OBS: 59223.519 Y 531 800.193 138.135 20.242 0.187 0x00
OBS: 59228.496 Y 531 1116.764 105.667 19.880 0.103 0x00
OBS: 59228.517 X 531 1382.412 76.297 19.648 0.060 0x00
