SURVEY:  YSE
SNID:  2021qou
otherID: 
IAUC:    UNKNOWN
RA:        192.8325830  deg
DECL:       -2.2771810  deg
MWEBV:    0.018 +- 0.001 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59366.400
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 22.297
MAX_MJD_GAP(days): 20.042
NOBS_BEFORE_PEAK: 62
NOBS_TO_PEAK: 63
NOBS_AFTER_PEAK: 14
SEARCH_PEAKMAG: 19.351
SEARCH_PEAKFLT: g
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021qou.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0009
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.523 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 77
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59231.610 g NULL 680.417 86.753 20.418 0.138 0x00
OBS: 59238.570 z NULL 752.169 177.106 20.309 0.256 0x00
OBS: 59251.461 Y 423 354.052 87.899 21.127 0.270 0x00
OBS: 59253.383 X 423 616.196 110.274 20.526 0.194 0x00
OBS: 59253.485 Y 423 499.790 76.964 20.753 0.167 0x00
OBS: 59255.395 X 423 445.893 73.362 20.877 0.179 0x00
OBS: 59255.416 Y 423 465.216 71.697 20.831 0.167 0x00
OBS: 59257.382 X 423 949.063 196.851 20.057 0.225 0x00
OBS: 59262.375 Y 423 432.185 102.906 20.911 0.259 0x00
OBS: 59264.417 X 423 473.107 85.972 20.813 0.197 0x00
OBS: 59264.511 Y 423 513.667 83.876 20.723 0.177 0x00
OBS: 59268.416 Y 423 602.399 98.692 20.550 0.178 0x00
OBS: 59268.438 X 423 744.015 118.156 20.321 0.172 0x00
OBS: 59288.480 r NULL 736.848 86.978 20.332 0.128 0x00
OBS: 59291.295 X 423 817.603 87.982 20.219 0.117 0x00
OBS: 59291.350 Y 423 531.386 82.378 20.686 0.168 0x00
OBS: 59293.295 X 423 690.697 121.328 20.402 0.191 0x00
OBS: 59305.520 r NULL 591.800 113.133 20.570 0.208 0x00
OBS: 59305.530 z NULL 795.652 152.959 20.248 0.209 0x00
OBS: 59307.271 Y 423 678.551 75.231 20.421 0.120 0x00
OBS: 59307.315 X 423 681.274 73.939 20.417 0.118 0x00
OBS: 59309.273 Y 423 772.447 96.706 20.280 0.136 0x00
OBS: 59309.295 X 423 601.202 95.276 20.552 0.172 0x00
OBS: 59311.249 X 423 788.785 108.235 20.258 0.149 0x00
OBS: 59311.460 g NULL 1606.969 88.613 19.485 0.060 0x00
OBS: 59313.273 X 423 723.145 125.155 20.352 0.188 0x00
OBS: 59317.273 X 423 721.860 71.185 20.354 0.107 0x00
OBS: 59321.294 Y 423 833.454 81.139 20.198 0.106 0x00
OBS: 59323.276 X 423 908.824 129.984 20.104 0.155 0x00
OBS: 59323.333 Y 423 694.049 107.298 20.397 0.168 0x00
OBS: 59325.277 Y 423 790.802 105.249 20.255 0.144 0x00
OBS: 59325.326 X 423 815.279 138.283 20.222 0.184 0x00
OBS: 59334.212 X 423 831.258 100.808 20.201 0.132 0x00
OBS: 59334.274 Y 423 830.345 141.624 20.202 0.185 0x00
OBS: 59336.253 X 423 596.860 88.680 20.560 0.161 0x00
OBS: 59336.314 Y 423 704.556 68.778 20.380 0.106 0x00
OBS: 59336.420 z NULL 953.465 186.240 20.052 0.212 0x00
OBS: 59336.430 r NULL 450.478 81.590 20.866 0.197 0x00
OBS: 59338.290 i NULL 724.067 100.752 20.351 0.151 0x00
