SURVEY:  YSE
SNID:  2021ugv
otherID: 
IAUC:    UNKNOWN
RA:        313.8473710  deg
DECL:       -5.1053220  deg
MWEBV:    0.067 +- 0.003 MW E(B-V)
REDSHIFT_FINAL: NaN +- -99.0 (PHOTO-Z)
PHOTO_Z: NaN 
VETTED_PSO_NAME: NaN 
VETTED_PS1_OBJID: -99 
VETTED_HOST_GALAXY_STATUS: Z 
VETTED_HOST_GALAXY_COORDS(RA, DECL)[deg]: (-99.0, -99.0) 
VETTED_HOST_GALAXY_NAME(SIMBAD,SDSS): Not Queried 
VETTED_HOST_GALAXY_REDSHIFT(HOST_Z): -99.000000 
SEARCH_PEAKMJD: 59385.510
HOST_LOGMASS: -99.0000 +- -99.0000
PEAK_ABS_MAG: NA
SPEC_CLASS: NA
SPEC_CLASS_BROAD: NA
PARSNIP_PRED: NA
PARSNIP_CONF: NA
PARSNIP_S1: NA +- NA
PARSNIP_S2: NA +- NA
PARSNIP_S3: NA +- NA
SUPERRAENN_PRED: NA
SUPERRAENN_CONF: NA
SET_ZTF_FP: 27.500
PEAK_SNR: 28.295
MAX_MJD_GAP(days): 11.008
NOBS_BEFORE_PEAK: 89
NOBS_TO_PEAK: 90
NOBS_AFTER_PEAK: 144
SEARCH_PEAKMAG: 18.550
SEARCH_PEAKFLT: z
FILTERS: YrigXz
MASK_USED: Not NA Mag, FLUXCALERR > 0, MAGERR <= 1.5, SNR >= 4, PM_PEAKMJD = 300, FLAG = 0x00
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ugv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.929 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS_AFTER_MASK: 234
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59099.420 i NULL 510.433 111.682 20.730 0.238 0x00
OBS: 59100.340 z NULL 1975.376 133.000 19.261 0.073 0x00
OBS: 59111.211 Y 440 541.038 94.032 20.667 0.189 0x00
OBS: 59114.211 X 440 416.966 85.625 20.950 0.223 0x00
OBS: 59114.279 Y 440 683.238 97.608 20.414 0.155 0x00
OBS: 59123.210 z NULL 2198.761 178.907 19.145 0.088 0x00
OBS: 59125.269 Y 440 871.454 187.910 20.149 0.234 0x00
OBS: 59126.350 i NULL 463.470 99.574 20.835 0.233 0x00
OBS: 59130.187 X 440 441.481 78.667 20.888 0.193 0x00
OBS: 59130.208 Y 440 751.711 84.767 20.310 0.122 0x00
OBS: 59132.230 z NULL 2300.661 160.504 19.095 0.076 0x00
OBS: 59135.154 Y 440 775.104 81.593 20.277 0.114 0x00
OBS: 59135.229 X 440 348.436 83.587 21.145 0.260 0x00
OBS: 59137.203 Y 440 648.507 101.088 20.470 0.169 0x00
OBS: 59137.227 X 440 471.699 104.878 20.816 0.241 0x00
OBS: 59139.249 Y 440 471.367 114.930 20.817 0.265 0x00
OBS: 59141.145 Y 440 432.479 88.000 20.910 0.221 0x00
OBS: 59143.134 Y 440 327.492 81.279 21.212 0.269 0x00
OBS: 59143.260 i NULL 528.158 126.706 20.693 0.260 0x00
OBS: 59145.124 Y 440 519.283 93.826 20.711 0.196 0x00
OBS: 59151.109 Y 440 705.305 174.948 20.379 0.269 0x00
OBS: 59153.086 Y 440 693.291 146.202 20.398 0.229 0x00
OBS: 59153.250 i NULL 1049.778 111.810 19.947 0.116 0x00
OBS: 59155.106 Y 440 586.611 123.788 20.579 0.229 0x00
OBS: 59155.210 r NULL 675.790 86.299 20.425 0.139 0x00
OBS: 59155.210 z NULL 2134.338 173.686 19.177 0.088 0x00
OBS: 59163.250 z NULL 1563.491 173.943 19.515 0.121 0x00
OBS: 59164.106 Y 440 516.050 119.629 20.718 0.252 0x00
OBS: 59167.108 Y 440 653.597 128.394 20.462 0.213 0x00
OBS: 59169.107 X 440 464.288 100.559 20.833 0.235 0x00
OBS: 59171.087 Y 440 967.064 97.796 20.036 0.110 0x00
OBS: 59171.152 X 440 662.338 111.219 20.447 0.182 0x00
OBS: 59173.084 Y 440 656.556 107.012 20.457 0.177 0x00
OBS: 59184.092 Y 440 653.145 159.968 20.462 0.266 0x00
OBS: 59184.200 z NULL 2025.601 177.431 19.234 0.095 0x00
OBS: 59190.115 Y 440 838.575 148.155 20.191 0.192 0x00
OBS: 59323.600 g NULL 302.200 68.115 21.299 0.245 0x00
OBS: 59323.610 z NULL 2318.288 164.717 19.087 0.077 0x00
OBS: 59325.442 X 440 565.757 128.012 20.618 0.246 0x00
OBS: 59325.481 Y 440 950.622 129.908 20.055 0.148 0x00
OBS: 59329.444 Y 440 1190.194 251.843 19.811 0.230 0x00
OBS: 59329.610 r NULL 1090.515 144.072 19.906 0.143 0x00
OBS: 59329.610 i NULL 1455.504 140.029 19.592 0.104 0x00
OBS: 59332.610 i NULL 1667.070 127.387 19.445 0.083 0x00
OBS: 59332.620 r NULL 665.412 135.216 20.442 0.221 0x00
OBS: 59334.600 z NULL 3156.827 236.094 18.752 0.081 0x00
OBS: 59334.600 r NULL 676.509 124.119 20.424 0.199 0x00
OBS: 59337.465 Y 440 1292.253 253.099 19.722 0.213 0x00
OBS: 59339.427 X 440 660.031 135.559 20.451 0.223 0x00
OBS: 59339.477 Y 440 926.844 105.893 20.082 0.124 0x00
OBS: 59342.446 Y 440 853.339 84.276 20.172 0.107 0x00
OBS: 59342.468 X 440 476.098 79.362 20.806 0.181 0x00
OBS: 59342.600 r NULL 800.881 85.685 20.241 0.116 0x00
OBS: 59345.474 Y 440 723.507 99.038 20.351 0.149 0x00
OBS: 59345.610 i NULL 768.607 121.435 20.286 0.172 0x00
OBS: 59348.422 Y 440 865.237 90.433 20.157 0.113 0x00
OBS: 59348.444 X 440 646.402 79.088 20.474 0.133 0x00
OBS: 59348.610 r NULL 324.451 74.858 21.222 0.251 0x00
OBS: 59351.590 i NULL 1224.763 151.466 19.780 0.134 0x00
OBS: 59352.426 Y 440 1095.101 114.241 19.901 0.113 0x00
OBS: 59352.463 X 440 869.104 90.069 20.152 0.113 0x00
OBS: 59354.444 X 440 862.057 133.615 20.161 0.168 0x00
OBS: 59356.570 r NULL 1030.141 75.368 19.968 0.079 0x00
OBS: 59356.570 i NULL 1857.708 74.054 19.328 0.043 0x00
OBS: 59357.463 Y 440 1412.213 100.472 19.625 0.077 0x00
OBS: 59357.580 r NULL 1179.244 73.805 19.821 0.068 0x00
OBS: 59358.580 r NULL 933.952 104.648 20.074 0.122 0x00
OBS: 59358.590 i NULL 1649.912 118.777 19.456 0.078 0x00
OBS: 59361.420 Y 440 1470.754 208.463 19.581 0.154 0x00
OBS: 59363.402 Y 440 1810.360 178.628 19.356 0.107 0x00
OBS: 59363.454 X 440 1132.741 225.209 19.865 0.216 0x00
OBS: 59366.411 Y 440 1507.769 154.542 19.554 0.111 0x00
OBS: 59366.453 X 440 1199.041 159.638 19.803 0.145 0x00
OBS: 59369.401 X 440 1100.429 92.760 19.896 0.092 0x00
OBS: 59369.530 z NULL 2865.044 281.212 18.857 0.107 0x00
OBS: 59369.540 g NULL 620.622 140.509 20.518 0.246 0x00
OBS: 59371.399 X 440 1342.057 77.582 19.681 0.063 0x00
OBS: 59371.458 Y 440 1929.502 79.536 19.286 0.045 0x00
OBS: 59374.400 X 440 1590.727 90.583 19.496 0.062 0x00
OBS: 59374.441 Y 440 2152.423 245.530 19.168 0.124 0x00
OBS: 59376.400 X 440 1599.941 84.734 19.490 0.057 0x00
OBS: 59376.440 Y 440 2235.242 101.126 19.127 0.049 0x00
OBS: 59378.401 Y 440 2085.982 93.669 19.202 0.049 0x00
OBS: 59378.422 X 440 1467.141 85.404 19.584 0.063 0x00
OBS: 59379.500 i NULL 2754.513 104.287 18.900 0.041 0x00
OBS: 59379.500 g NULL 1340.699 83.314 19.682 0.067 0x00
OBS: 59382.418 X 440 1478.516 97.464 19.575 0.072 0x00
OBS: 59382.441 Y 440 2007.884 94.757 19.243 0.051 0x00
